 Date Time CO H2S NO2 CHX NO
 21.01.13 00:00 0.10 ---- 0.15 1.99 0.08
 -------- 01:00 0.09 ---- 0.14 2.02 0.08
 -------- 02:00 0.11 ---- 0.15 2.11 0.12
 -------- 03:00 0.11 ---- 0.14 2.48 0.10
 -------- 04:00 0.10 ---- 0.14 1.87 0.09
 21.01.13 05:00 0.08 ---- 0.14 1.78 0.07
 -------- 06:00 0.08 ---- 0.14 1.82 0.07
 -------- 07:00 0.12 ---- 0.15 1.87 0.16
 -------- 08:00 0.14 ---- 0.16 1.88 0.20
 -------- 09:00 0.17 ---- 0.20 1.94 0.29
 21.01.13 10:00 0.15 ---- 0.19 1.98 0.28
 -------- 11:00 0.14 ---- 0.18 1.94 0.25
 -------- 12:00 0.13 ---- 0.18 1.96 0.24
 -------- 13:00 0.11 ---- 0.15 1.78 0.21
 -------- 14:00 0.11 ---- 0.15 1.77 0.21
 21.01.13 15:00 0.11 ---- 0.16 1.77 0.18
 -------- 16:00 0.11 ---- 0.16 1.69 0.16
 -------- 17:00 0.10 ---- 0.17 1.98 0.15
 -------- 18:00 0.11 ---- 0.18 2.24 0.16
 -------- 19:00 0.09 ---- 0.18 1.79 0.13
 21.01.13 20:00 0.08 ---- 0.18 1.65 0.09
 -------- 21:00 0.08 ---- 0.19 1.64 0.09
 -------- 22:00 0.08 ---- 0.19 1.65 0.10
 -------- 23:00 0.06 ---- 0.18 1.59 0.08
 -------- 00:00 0.06 ---- 0.18 1.58 0.08
 22.01.13 01:00 0.09 ---- 0.18 1.60 0.06
 -------- 02:00 0.05 ---- 0.16 1.57 0.04
 -------- 03:00 0.02 ---- 0.16 1.57 0.03
 -------- 04:00 0.02 ---- 0.17 1.58 0.03
 -------- 05:00 0.02 ---- 0.18 1.53 0.05
 22.01.13 06:00 0.04 ---- 0.20 1.57 0.10
 -------- 07:00 0.05 ---- 0.20 1.58 0.10
 -------- 08:00 0.09 ---- 0.22 1.61 0.14
 -------- 09:00 0.10 ---- 0.23 1.68 0.19
 -------- 10:00 0.13 ---- 0.24 1.72 0.24
 22.01.13 11:00 0.11 ---- 0.24 1.72 0.26
 -------- 12:00 0.09 ---- 0.22 1.68 0.21
 -------- 13:00 0.11 ---- 0.23 1.71 0.23
 -------- 14:00 0.13 ---- 0.23 1.86 0.23
 -------- 15:00 0.12 ---- 0.23 1.91 0.24
 22.01.13 16:00 0.11 ---- 0.24 1.81 0.24
 -------- 17:00 0.13 ---- 0.26 1.97 0.29
 -------- 18:00 0.25 ---- 0.24 2.24 0.30
 -------- 19:00 0.13 ---- 0.23 1.84 0.18
 -------- 20:00 0.12 ---- 0.21 1.69 0.12
 22.01.13 21:00 0.14 ---- 0.21 1.71 0.15
 -------- 22:00 0.14 ---- 0.21 1.68 0.14
 -------- 23:00 0.13 ---- 0.20 1.66 0.13
