 Date Time CO NO2 CHX NO
 10.12.12 00:00 0.23 0.19 2.62 0.40
 -------- 01:00 0.17 0.17 2.46 0.28
 -------- 02:00 0.20 0.18 2.51 0.36
 -------- 03:00 0.15 0.19 2.22 0.31
 -------- 04:00 0.15 0.20 2.15 0.33
 10.12.12 05:00 0.14 0.19 2.29 0.29
 -------- 06:00 0.11 0.17 2.60 0.18
 -------- 07:00 0.09 0.14 2.25 0.12
 -------- 08:00 0.08 0.13 2.18 0.12
 -------- 09:00 0.08 0.13 2.35 0.15
 10.12.12 10:00 0.07 0.11 1.80 0.07
 -------- 11:00 0.08 0.11 1.91 0.06
 -------- 12:00 0.08 0.10 1.91 0.07
 -------- 13:00 0.09 0.11 1.86 0.10
 -------- 14:00 0.09 0.10 1.84 0.10
 10.12.12 15:00 0.10 0.11 1.94 0.09
 -------- 16:00 0.10 0.11 2.31 0.09
 -------- 17:00 0.09 0.10 2.42 0.06
 -------- 18:00 0.12 0.10 1.93 0.06
 -------- 19:00 0.10 0.09 1.91 0.05
 10.12.12 20:00 0.10 0.11 2.00 0.07
 -------- 21:00 0.06 0.09 1.89 0.03
 -------- 22:00 0.05 0.07 1.74 0.01
 -------- 23:00 0.04 0.06 1.65 0.01
 -------- 00:00 0.04 0.05 1.60 0.00
 11.12.12 01:00 0.03 0.04 1.53 0.00
 -------- 02:00 0.02 0.03 1.51 0.00
 -------- 03:00 0.02 0.04 1.50 0.00
 -------- 04:00 0.02 0.03 1.46 0.00
 -------- 05:00 0.03 0.04 1.48 0.00
 11.12.12 06:00 0.04 0.05 1.56 0.00
 -------- 07:00 0.06 0.05 1.62 0.00
 -------- 08:00 0.06 0.06 1.72 0.00
 -------- 09:00 0.07 0.07 1.68 0.01
 -------- 10:00 0.07 0.07 1.73 0.01
 11.12.12 11:00 0.07 0.07 1.76 0.01
 -------- 12:00 0.08 0.10 1.97 0.02
 -------- 13:00 0.08 0.09 1.89 0.01
 -------- 14:00 0.09 0.12 1.83 0.02
 -------- 15:00 0.09 0.13 2.18 0.03
 11.12.12 16:00 0.08 0.10 2.96 0.01
 -------- 17:00 0.08 0.10 1.95 0.02
 -------- 18:00 0.10 0.10 1.82 0.02
 -------- 19:00 0.09 0.18 1.84 0.13
 -------- 20:00 0.08 0.17 1.78 0.18
 11.12.12 21:00 0.11 0.15 1.91 0.17
 -------- 22:00 0.09 0.14 1.85 0.07
 -------- 23:00 0.10 0.15 1.91 0.07
