 Date Time CO H2S NO2 CHX NO
 12.12.12 12:00 0.07 ---- 0.14 1.95 0.11
 -------- 13:00 0.09 ---- 0.15 1.94 0.16
 -------- 14:00 0.07 ---- 0.16 1.91 0.16
 -------- 15:00 0.08 ---- 0.14 1.96 0.08
 -------- 16:00 0.08 ---- 0.14 3.15 0.07
 12.12.12 17:00 0.07 ---- 0.16 4.68 0.06
 -------- 18:00 0.11 ---- 0.17 2.12 0.09
 -------- 19:00 0.09 ---- 0.16 1.95 0.06
 -------- 20:00 0.11 ---- 0.15 1.88 0.04
 -------- 21:00 0.10 ---- 0.13 1.81 0.03
 12.12.12 22:00 0.08 ---- 0.13 1.80 0.02
 -------- 23:00 0.07 ---- 0.10 1.78 0.01
 -------- 00:00 0.06 ---- 0.09 1.77 0.01
 -------- 01:00 0.06 ---- 0.08 1.72 0.00
 -------- 02:00 0.07 ---- 0.07 1.70 0.00
 13.12.12 03:00 0.06 ---- 0.07 1.68 0.01
 -------- 04:00 0.05 ---- 0.07 1.66 0.00
 -------- 05:00 0.05 ---- 0.08 1.64 0.00
 -------- 06:00 0.06 ---- 0.09 1.64 0.00
 -------- 07:00 0.06 ---- 0.19 1.80 0.07
 13.12.12 08:00 0.08 ---- 0.22 1.78 0.12
 -------- 09:00 0.08 ---- 0.21 1.81 0.10
 -------- 10:00 0.08 ---- 0.21 1.80 0.09
 -------- 11:00 0.08 ---- 0.19 1.80 0.08
 -------- 12:00 0.07 ---- 0.18 1.78 0.06
 13.12.12 13:00 0.08 ---- 0.18 1.87 0.06
 -------- 14:00 0.10 ---- 0.22 3.30 0.14
 -------- 15:00 0.10 ---- 0.23 3.06 0.14
 -------- 16:00 0.10 ---- 0.23 1.90 0.14
 -------- 17:00 0.10 ---- 0.22 1.77 0.10
 13.12.12 18:00 0.13 ---- 0.23 1.83 0.13
 -------- 19:00 0.11 ---- 0.23 1.85 0.17
 -------- 20:00 0.11 ---- 0.23 1.93 0.15
 -------- 21:00 0.12 ---- 0.21 1.80 0.15
 -------- 22:00 0.09 ---- 0.20 1.74 0.13
 13.12.12 23:00 0.08 ---- 0.20 1.81 0.13
 -------- 00:00 0.07 ---- 0.19 1.71 0.09
 -------- 01:00 0.09 ---- 0.19 1.72 0.10
 -------- 02:00 0.11 ---- 0.18 1.60 0.08
 -------- 03:00 0.11 ---- 0.18 1.55 0.06
 14.12.12 04:00 0.11 ---- 0.18 1.54 0.06
 -------- 05:00 0.13 ---- 0.19 1.57 0.08
 -------- 06:00 0.12 ---- 0.18 1.65 0.08
 -------- 07:00 0.07 ---- 0.16 1.68 0.04
 -------- 08:00 0.04 ---- 0.17 1.75 0.06
 14.12.12 09:00 0.04 ---- 0.19 1.79 0.11
 -------- 10:00 0.05 ---- 0.19 1.74 0.13
 -------- 11:00 0.04 ---- 0.16 1.70 0.05
