 Date Time CO H2S NO2 CHX NO
 03.11.12 12:00 0.08 0.12 0.10 1.60 0.03
 -------- 13:00 0.09 0.12 0.11 1.64 0.03
 -------- 14:00 0.08 0.12 0.12 1.65 0.04
 -------- 15:00 0.09 0.12 0.12 2.44 0.04
 -------- 16:00 0.09 0.12 0.13 3.87 0.06
 03.11.12 17:00 0.11 0.17 0.13 1.94 0.06
 -------- 18:00 0.13 0.25 0.12 1.80 0.07
 -------- 19:00 0.13 0.19 0.12 1.87 0.07
 -------- 20:00 0.17 ---- 0.12 1.89 0.10
 -------- 21:00 0.17 0.25 0.12 1.77 0.10
 03.11.12 22:00 0.19 0.25 0.11 1.88 0.14
 -------- 23:00 0.15 0.17 0.11 1.72 0.13
 -------- 00:00 0.15 0.12 0.10 1.64 0.13
 -------- 01:00 0.13 0.12 0.10 1.61 0.12
 -------- 02:00 0.13 ---- 0.09 1.64 0.10
 04.11.12 03:00 0.13 0.12 0.09 1.58 0.08
 -------- 04:00 0.11 0.12 0.09 2.48 0.08
 -------- 05:00 0.11 0.19 0.10 7.20 0.09
 -------- 06:00 0.11 0.12 0.10 2.88 0.08
 -------- 07:00 0.10 0.17 0.10 1.76 0.08
 04.11.12 08:00 0.13 0.25 0.11 1.61 0.09
 -------- 09:00 0.13 0.19 0.12 1.64 0.11
 -------- 10:00 0.16 0.12 0.13 1.68 0.13
 -------- 11:00 0.14 0.17 0.13 1.69 0.10
 -------- 12:00 0.15 0.21 0.13 1.67 0.10
 04.11.12 13:00 0.15 0.21 0.13 1.72 0.10
 -------- 14:00 0.17 0.25 0.13 1.81 0.11
 -------- 15:00 0.16 0.17 0.14 1.84 0.11
 -------- 16:00 0.15 0.21 0.14 6.11 0.09
 -------- 17:00 0.14 0.12 0.13 3.28 0.09
 04.11.12 18:00 0.16 0.12 0.14 1.92 0.09
 -------- 19:00 0.13 0.12 0.14 1.63 0.10
 -------- 20:00 0.14 0.12 0.15 1.64 0.12
 -------- 21:00 0.11 0.12 0.15 1.64 0.12
 -------- 22:00 0.09 0.17 0.13 1.51 0.08
 04.11.12 23:00 0.09 0.17 0.13 1.49 0.09
 -------- 00:00 0.09 0.12 0.12 1.45 0.07
 -------- 01:00 0.09 0.33 0.12 1.41 0.06
 -------- 02:00 0.05 0.79 0.11 1.42 0.04
 -------- 03:00 0.03 0.29 0.09 1.36 0.03
 05.11.12 04:00 0.02 0.12 0.09 1.31 0.03
 -------- 05:00 0.03 0.17 0.10 1.31 0.03
 -------- 06:00 0.03 0.33 0.10 1.31 0.04
 -------- 07:00 0.03 0.21 0.12 1.34 0.04
 -------- 08:00 0.04 0.17 0.15 1.33 0.08
 05.11.12 09:00 0.06 0.12 0.15 1.38 0.09
 -------- 10:00 0.15 0.33 0.17 1.73 0.18
 -------- 11:00 0.11 0.17 0.16 1.74 0.16
