 Date Time CO
 -------- 15:00 0.04
 -------- 16:00 0.04
 16.04.13 17:00 0.04
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.06
 16.04.13 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.05
 17.04.13 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 17.04.13 08:00 0.08
 -------- 09:00 0.08
 -------- 10:00 0.08
 -------- 11:00 0.09
 -------- 12:00 0.10
 17.04.13 13:00 0.10
 -------- 14:00 0.08
 -------- 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.08
 17.04.13 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.04
 -------- 22:00 0.04
 17.04.13 23:00 0.04
 -------- 00:00 0.03
 -------- 01:00 0.02
 -------- 02:00 0.04
 -------- 03:00 0.04
 18.04.13 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 18.04.13 09:00 0.06
 -------- 10:00 0.06
 -------- 11:00 0.06
