 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.05
 13.02.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 13.02.13 22:00 0.05
 -------- 23:00 0.06
 -------- 00:00 0.06
 -------- 01:00 0.04
 -------- 02:00 0.05
 14.02.13 03:00 0.06
 -------- 04:00 0.05
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 14.02.13 08:00 0.04
 -------- 09:00 0.05
 -------- 10:00 0.06
 -------- 11:00 0.07
 -------- 12:00 0.13
 14.02.13 13:00 0.16
 -------- 14:00 0.15
 -------- 15:00 0.13
 -------- 16:00 0.10
 -------- 17:00 0.09
 14.02.13 18:00 0.08
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 14.02.13 23:00 0.06
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 15.02.13 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.08
 -------- 08:00 0.09
 15.02.13 09:00 0.08
 -------- 10:00 0.08
