 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 04.11.12 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 04.11.12 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.05
 -------- 14:00 0.06
 04.11.12 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 04.11.12 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.06
 -------- 00:00 0.05
 05.11.12 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.04
 05.11.12 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.03
 -------- 09:00 0.03
 -------- 10:00 0.04
 05.11.12 11:00 0.04
 -------- 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.06
 05.11.12 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 05.11.12 21:00 0.06
 -------- 22:00 0.04
 -------- 23:00 0.04
