 Date Time CO
 -------- 15:00 0.07
 -------- 16:00 0.08
 22.12.12 17:00 0.08
 -------- 18:00 0.08
 -------- 19:00 0.07
 -------- 20:00 0.06
 -------- 21:00 0.06
 22.12.12 22:00 0.06
 -------- 23:00 0.06
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.06
 23.12.12 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 23.12.12 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.06
 -------- 11:00 0.06
 -------- 12:00 0.06
 23.12.12 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 23.12.12 18:00 0.07
 -------- 19:00 0.08
 -------- 20:00 0.10
 -------- 21:00 0.10
 -------- 22:00 0.10
 23.12.12 23:00 0.11
 -------- 00:00 0.12
 -------- 01:00 0.14
 -------- 02:00 0.15
 -------- 03:00 0.16
 24.12.12 04:00 0.16
 -------- 05:00 0.16
 -------- 06:00 0.15
 -------- 07:00 0.13
 -------- 08:00 0.12
 24.12.12 09:00 0.12
 -------- 10:00 0.12
