 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.06
 16.03.13 17:00 0.06
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 16.03.13 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.05
 -------- 01:00 0.04
 -------- 02:00 0.04
 17.03.13 03:00 0.04
 -------- 04:00 0.03
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 17.03.13 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.03
 -------- 11:00 0.04
 -------- 12:00 0.04
 17.03.13 13:00 0.04
 -------- 14:00 0.05
 -------- 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.04
 17.03.13 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 -------- 21:00 0.04
 -------- 22:00 0.04
 17.03.13 23:00 0.04
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.06
 -------- 03:00 0.06
 18.03.13 04:00 0.06
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.08
 18.03.13 09:00 0.09
 -------- 10:00 0.10
