 Date Time CO
 -------- 15:00 0.04
 -------- 16:00 0.04
 16.09.12 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 16.09.12 22:00 0.04
 -------- 23:00 0.05
 -------- 00:00 0.06
 -------- 01:00 0.05
 -------- 02:00 0.04
 17.09.12 03:00 0.04
 -------- 04:00 0.04
 -------- 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.05
 17.09.12 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.06
 -------- 12:00 0.07
 17.09.12 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 -------- 16:00 0.05
 -------- 17:00 0.04
 17.09.12 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 17.09.12 23:00 0.04
 -------- 00:00 0.05
 -------- 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.07
 18.09.12 04:00 0.08
 -------- 05:00 0.10
 -------- 06:00 0.12
 -------- 07:00 0.15
 -------- 08:00 0.17
 18.09.12 09:00 0.18
 -------- 10:00 0.18
 -------- 11:00 0.18
