 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 17.09.12 05:00 0.06
 -------- 06:00 0.06
 -------- 07:00 0.05
 -------- 08:00 0.04
 -------- 09:00 0.04
 17.09.12 10:00 0.04
 -------- 11:00 0.06
 -------- 12:00 0.07
 -------- 13:00 0.06
 -------- 14:00 0.06
 17.09.12 15:00 0.06
 -------- 16:00 0.05
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 17.09.12 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.05
 18.09.12 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.07
 -------- 04:00 0.08
 -------- 05:00 0.10
 18.09.12 06:00 0.12
 -------- 07:00 0.15
 -------- 08:00 0.17
 -------- 09:00 0.18
 -------- 10:00 0.18
 18.09.12 11:00 0.18
 -------- 12:00 0.17
 -------- 13:00 0.13
 -------- 14:00 0.11
 -------- 15:00 0.10
 18.09.12 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.07
 -------- 19:00 0.06
 -------- 20:00 0.06
 18.09.12 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.06
