 Date Time CO
 -------- 03:00 0.02
 -------- 04:00 0.02
 16.11.12 05:00 0.03
 -------- 06:00 0.03
 -------- 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.02
 16.11.12 10:00 0.02
 -------- 11:00 0.02
 -------- 12:00 0.02
 -------- 13:00 0.03
 -------- 14:00 0.02
 16.11.12 15:00 0.03
 -------- 16:00 0.02
 -------- 17:00 0.02
 -------- 18:00 0.02
 -------- 19:00 0.02
 16.11.12 20:00 0.02
 -------- 21:00 0.02
 -------- 22:00 0.02
 -------- 23:00 0.02
 -------- 00:00 0.02
 17.11.12 01:00 0.03
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.02
 -------- 05:00 0.02
 17.11.12 06:00 0.02
 -------- 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.04
 17.11.12 11:00 0.07
 -------- 12:00 0.08
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 17.11.12 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 17.11.12 21:00 0.05
 -------- 22:00 0.04
 -------- 23:00 0.04
