 Date Time CO
 -------- 03:00 0.02
 -------- 04:00 0.02
 06.01.13 05:00 0.02
 -------- 06:00 0.03
 -------- 07:00 0.05
 -------- 08:00 0.09
 -------- 09:00 0.12
 06.01.13 10:00 0.07
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.04
 06.01.13 15:00 0.04
 -------- 16:00 0.04
 -------- 17:00 0.05
 -------- 18:00 0.04
 -------- 19:00 0.04
 06.01.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 07.01.13 01:00 0.04
 -------- 02:00 0.04
 -------- 03:00 0.04
 -------- 04:00 0.02
 -------- 05:00 0.02
 07.01.13 06:00 0.02
 -------- 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.03
 07.01.13 11:00 0.04
 -------- 12:00 0.05
 -------- 13:00 0.06
 -------- 14:00 0.07
 -------- 15:00 0.08
 07.01.13 16:00 0.09
 -------- 17:00 0.11
 -------- 18:00 0.09
 -------- 19:00 0.07
 -------- 20:00 0.06
 07.01.13 21:00 0.05
 -------- 22:00 0.04
