 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.06
 17.10.12 05:00 0.06
 -------- 06:00 0.05
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 17.10.12 10:00 0.05
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.06
 17.10.12 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 17.10.12 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.06
 -------- 00:00 0.06
 18.10.12 01:00 0.08
 -------- 02:00 0.07
 -------- 03:00 0.06
 -------- 04:00 0.06
 -------- 05:00 0.06
 18.10.12 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.06
 18.10.12 11:00 0.08
 -------- 12:00 0.08
 -------- 13:00 0.08
 -------- 14:00 0.08
 -------- 15:00 0.08
 18.10.12 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 18.10.12 21:00 0.08
 -------- 22:00 0.07
 -------- 23:00 0.06
