 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 01.11.12 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 -------- 09:00 0.04
 01.11.12 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.05
 -------- 13:00 0.06
 -------- 14:00 0.06
 01.11.12 15:00 0.07
 -------- 16:00 0.08
 -------- 17:00 0.07
 -------- 18:00 0.06
 -------- 19:00 0.06
 01.11.12 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.08
 -------- 00:00 0.08
 02.11.12 01:00 0.09
 -------- 02:00 0.09
 -------- 03:00 0.08
 -------- 04:00 0.08
 -------- 05:00 0.07
 02.11.12 06:00 0.06
 -------- 07:00 0.06
 -------- 08:00 0.06
 -------- 09:00 0.06
 -------- 10:00 0.06
 02.11.12 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.06
 -------- 14:00 0.06
 -------- 15:00 0.06
 02.11.12 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.06
 02.11.12 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.06
