 Date Time CO
 -------- 03:00 0.04
 -------- 04:00 0.04
 05.03.13 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.05
 -------- 09:00 0.05
 05.03.13 10:00 0.06
 -------- 11:00 0.06
 -------- 12:00 0.06
 -------- 13:00 0.04
 -------- 14:00 0.04
 05.03.13 15:00 0.04
 -------- 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.06
 -------- 19:00 0.06
 05.03.13 20:00 0.06
 -------- 21:00 0.06
 -------- 22:00 0.06
 -------- 23:00 0.07
 -------- 00:00 0.09
 06.03.13 01:00 0.11
 -------- 02:00 0.14
 -------- 03:00 0.16
 -------- 04:00 0.17
 -------- 05:00 0.18
 06.03.13 06:00 0.18
 -------- 07:00 0.18
 -------- 08:00 0.18
 -------- 09:00 0.17
 -------- 10:00 0.15
 06.03.13 11:00 0.13
 -------- 12:00 0.12
 -------- 13:00 0.10
 -------- 14:00 0.10
 -------- 15:00 0.08
 06.03.13 16:00 0.08
 -------- 17:00 0.08
 -------- 18:00 0.08
 -------- 19:00 0.06
 -------- 20:00 0.06
 06.03.13 21:00 0.06
 -------- 22:00 0.06
