 Date Time CO
 -------- 15:00 0.09
 -------- 16:00 0.10
 12.01.13 17:00 0.10
 -------- 18:00 0.10
 -------- 19:00 0.10
 -------- 20:00 0.10
 -------- 21:00 0.11
 12.01.13 22:00 0.13
 -------- 23:00 0.14
 -------- 00:00 0.14
 -------- 01:00 0.14
 -------- 02:00 0.13
 13.01.13 03:00 0.12
 -------- 04:00 0.10
 -------- 05:00 0.09
 -------- 06:00 0.08
 -------- 07:00 0.06
 13.01.13 08:00 0.06
 -------- 09:00 0.07
 -------- 10:00 0.08
 -------- 11:00 0.08
 -------- 12:00 0.08
 13.01.13 13:00 0.08
 -------- 14:00 0.08
 -------- 15:00 0.08
 -------- 16:00 0.08
 -------- 17:00 0.08
 13.01.13 18:00 0.08
 -------- 19:00 0.08
 -------- 20:00 0.08
 -------- 21:00 0.08
 -------- 22:00 0.08
 13.01.13 23:00 0.06
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.05
 -------- 03:00 0.04
 14.01.13 04:00 0.04
 -------- 05:00 0.05
 -------- 06:00 0.04
 -------- 07:00 0.05
 -------- 08:00 0.06
 14.01.13 09:00 0.06
 -------- 10:00 0.08
