 Date Time CO SO2 H2S NO2 CHX NO
 18.04.13 12:00 0.09 0.01 0.12 0.26 1.46 0.10
 -------- 13:00 0.11 0.01 0.12 0.28 1.47 0.10
 -------- 14:00 0.13 0.01 0.12 0.29 1.52 0.10
 -------- 15:00 0.14 0.01 0.19 0.30 1.47 0.09
 -------- 16:00 0.07 0.01 0.29 0.26 1.44 0.07
 18.04.13 17:00 0.07 0.01 ---- 0.27 1.45 0.09
 -------- 18:00 0.09 0.01 ---- 0.32 1.47 0.10
 -------- 19:00 0.11 0.00 ---- 0.36 1.49 0.13
 -------- 20:00 0.13 0.01 ---- 0.41 1.50 0.16
 -------- 21:00 0.11 0.00 ---- 0.39 1.51 0.10
 18.04.13 22:00 0.16 0.01 ---- 0.45 1.57 0.21
 -------- 23:00 0.13 0.01 ---- 0.45 1.56 0.18
 -------- 00:00 0.17 0.01 0.12 0.47 1.64 0.26
 -------- 01:00 0.14 0.01 0.12 0.47 1.68 0.24
 -------- 02:00 0.08 0.01 0.12 0.38 1.57 0.10
 19.04.13 03:00 0.04 0.01 0.12 0.29 1.51 0.06
 -------- 04:00 0.03 0.01 0.12 0.27 1.57 0.05
 -------- 05:00 0.02 0.01 0.12 0.25 1.47 0.06
 -------- 06:00 0.05 0.01 0.12 0.29 1.48 0.09
 -------- 07:00 0.07 0.01 0.12 0.34 1.54 0.12
 19.04.13 08:00 0.12 0.01 0.12 0.36 1.57 0.13
 -------- 09:00 0.11 0.01 0.12 0.36 1.60 0.12
 -------- 10:00 0.09 0.01 0.12 0.32 1.54 0.10
 -------- 11:00 0.05 0.01 0.12 0.21 1.46 0.06
 -------- 12:00 0.08 0.01 0.12 0.20 1.44 0.06
 19.04.13 13:00 0.05 0.01 0.12 0.17 1.41 0.05
 -------- 14:00 0.05 0.01 0.12 0.16 1.44 0.05
 -------- 15:00 0.05 0.01 0.12 0.15 1.43 0.05
 -------- 16:00 0.05 0.01 0.12 0.18 1.43 0.05
 -------- 17:00 0.05 0.01 ---- 0.16 1.42 0.04
 19.04.13 18:00 0.09 0.01 0.12 0.25 1.44 0.07
 -------- 19:00 0.07 0.01 ---- 0.23 1.42 0.05
 -------- 20:00 0.09 0.01 ---- 0.29 1.46 0.06
 -------- 21:00 0.09 0.01 0.12 0.28 1.47 0.06
 -------- 22:00 0.20 0.01 0.12 0.40 1.53 0.19
 19.04.13 23:00 0.19 0.01 0.25 0.42 1.55 0.18
 -------- 00:00 0.20 0.01 0.17 0.43 1.64 0.29
 -------- 01:00 0.14 0.01 0.12 0.37 1.53 0.20
 -------- 02:00 0.12 0.01 0.12 0.33 1.49 0.22
 -------- 03:00 0.10 0.01 0.12 0.28 1.50 0.18
 20.04.13 04:00 0.17 0.01 0.21 0.35 1.65 0.33
 -------- 05:00 0.12 0.01 0.17 0.34 1.51 0.29
 -------- 06:00 0.12 0.01 0.17 0.33 1.50 0.27
 -------- 07:00 0.09 0.01 0.12 0.31 1.50 0.17
 -------- 08:00 0.12 0.01 0.12 0.32 1.53 0.19
 20.04.13 09:00 0.13 0.01 0.12 0.33 1.55 0.19
 -------- 10:00 0.14 0.01 0.17 0.34 1.63 0.22
 -------- 11:00 0.14 0.01 0.21 0.34 1.69 0.20
