 Date Time CO NO2 CHX NO
 01.11.12 12:00 0.14 0.15 1.49 0.19
 -------- 13:00 0.13 0.15 1.47 0.16
 -------- 14:00 0.15 0.17 1.47 0.19
 -------- 15:00 0.13 0.14 1.43 0.13
 -------- 16:00 0.08 0.13 1.45 0.09
 01.11.12 17:00 0.10 0.14 1.49 0.12
 -------- 18:00 0.10 0.14 1.48 0.08
 -------- 19:00 0.11 0.13 1.45 0.09
 -------- 20:00 0.15 0.14 1.55 0.13
 -------- 21:00 0.14 0.14 1.60 0.13
 01.11.12 22:00 0.11 0.13 1.53 0.13
 -------- 23:00 0.11 0.13 1.59 0.15
 -------- 00:00 0.07 0.12 1.62 0.10
 -------- 01:00 0.07 0.11 1.56 0.08
 -------- 02:00 0.06 0.10 1.51 0.05
 02.11.12 03:00 0.04 0.08 1.50 0.02
 -------- 04:00 0.04 0.08 1.53 0.03
 -------- 05:00 0.04 0.09 1.52 0.05
 -------- 06:00 0.07 0.11 1.49 0.13
 -------- 07:00 0.09 0.13 1.53 0.13
 02.11.12 08:00 0.15 0.15 1.43 0.20
 -------- 09:00 0.12 0.15 1.46 0.16
 -------- 10:00 0.16 0.16 1.63 0.26
 -------- 11:00 0.18 0.18 1.62 0.32
 -------- 12:00 0.15 0.17 1.54 0.28
 02.11.12 13:00 0.13 0.16 1.52 0.24
 -------- 14:00 0.15 0.18 1.54 0.27
 -------- 15:00 0.15 0.18 1.60 0.24
 -------- 16:00 0.13 0.18 1.49 0.20
 -------- 17:00 0.14 0.18 1.55 0.20
 02.11.12 18:00 0.11 0.17 1.54 0.16
 -------- 19:00 0.12 0.17 1.54 0.14
 -------- 20:00 0.11 0.16 1.42 0.15
 -------- 21:00 0.12 0.14 1.49 0.13
 -------- 22:00 0.13 0.14 1.49 0.15
 02.11.12 23:00 0.11 0.14 1.52 0.13
 -------- 00:00 0.08 0.14 1.50 0.11
 -------- 01:00 0.07 0.14 1.43 0.11
 -------- 02:00 0.06 0.13 1.44 0.09
 -------- 03:00 0.05 0.11 1.51 0.07
 03.11.12 04:00 0.04 0.10 1.54 0.06
 -------- 05:00 0.05 0.12 1.49 0.10
 -------- 06:00 0.05 0.12 1.48 0.10
 -------- 07:00 0.07 0.13 1.47 0.12
 -------- 08:00 0.08 0.13 1.52 0.10
 03.11.12 09:00 0.10 0.14 1.48 0.14
 -------- 10:00 0.11 0.16 1.51 0.17
 -------- 11:00 0.13 0.17 1.53 0.21
