 Date Time CO NO2 CHX NO
 12.11.12 00:00 0.05 0.09 1.41 0.03
 -------- 01:00 0.05 0.08 1.42 0.02
 -------- 02:00 0.04 0.06 1.41 0.01
 -------- 03:00 0.03 0.06 1.40 0.01
 -------- 04:00 0.02 0.05 1.40 0.01
 12.11.12 05:00 0.04 0.06 1.41 0.02
 -------- 06:00 0.05 0.08 1.41 0.04
 -------- 07:00 0.06 0.10 1.43 0.05
 -------- 08:00 0.07 0.11 1.44 0.06
 -------- 09:00 0.08 0.12 1.43 0.08
 12.11.12 10:00 0.09 0.12 1.42 0.09
 -------- 11:00 0.09 0.12 1.43 0.09
 -------- 12:00 0.09 0.12 1.46 0.11
 -------- 13:00 0.08 0.11 1.44 0.09
 -------- 14:00 0.09 0.11 1.47 0.12
 12.11.12 15:00 0.09 0.10 1.47 0.09
 -------- 16:00 0.10 0.10 1.49 0.07
 -------- 17:00 0.11 0.11 1.48 0.07
 -------- 18:00 0.09 0.11 1.49 0.06
 -------- 19:00 0.10 0.09 1.47 0.06
 12.11.12 20:00 0.09 0.08 1.46 0.06
 -------- 21:00 0.11 0.09 1.46 0.07
 -------- 22:00 0.09 0.09 1.45 0.08
 -------- 23:00 0.09 0.09 1.45 0.12
 -------- 00:00 0.11 0.10 1.49 0.17
 13.11.12 01:00 0.05 0.07 1.41 0.04
 -------- 02:00 0.03 0.07 1.39 0.02
 -------- 03:00 0.02 0.06 1.39 0.02
 -------- 04:00 0.02 0.05 1.38 0.02
 -------- 05:00 0.02 0.06 1.38 0.04
 13.11.12 06:00 0.05 0.08 1.40 0.08
 -------- 07:00 0.07 0.11 1.42 0.10
 -------- 08:00 0.09 0.10 1.42 0.07
 -------- 09:00 0.10 0.12 1.44 0.08
 -------- 10:00 0.10 0.13 1.44 0.11
 13.11.12 11:00 0.12 0.15 1.42 0.17
 -------- 12:00 0.11 0.14 1.41 0.14
 -------- 13:00 0.11 0.15 1.41 0.14
 -------- 14:00 0.11 0.17 1.40 0.15
 -------- 15:00 0.13 0.18 1.42 0.18
 13.11.12 16:00 0.17 0.18 1.45 0.18
 -------- 17:00 0.14 0.19 1.45 0.17
 -------- 18:00 0.14 0.18 1.46 0.13
 -------- 19:00 0.14 0.18 1.45 0.15
 -------- 20:00 0.14 0.18 1.46 0.14
 13.11.12 21:00 0.23 0.20 1.54 0.21
 -------- 22:00 0.14 0.17 1.47 0.13
 -------- 23:00 0.11 0.18 1.44 0.18
