 Date Time CO NO2 CHX NO
 17.11.12 00:00 0.11 0.15 1.45 0.18
 -------- 01:00 0.13 0.16 1.45 0.21
 -------- 02:00 0.11 0.15 1.43 0.18
 -------- 03:00 0.11 0.15 1.43 0.20
 -------- 04:00 0.08 0.14 1.42 0.14
 17.11.12 05:00 0.08 0.14 1.42 0.14
 -------- 06:00 0.07 0.14 1.42 0.14
 -------- 07:00 0.09 0.16 1.43 0.17
 -------- 08:00 0.11 0.18 1.43 0.22
 -------- 09:00 0.15 0.19 1.46 0.26
 17.11.12 10:00 0.20 0.21 1.49 0.32
 -------- 11:00 0.19 0.19 1.47 0.28
 -------- 12:00 0.17 0.18 1.46 0.23
 -------- 13:00 0.13 0.17 1.44 0.19
 -------- 14:00 0.13 0.17 1.44 0.19
 17.11.12 15:00 0.13 0.17 1.43 0.19
 -------- 16:00 0.13 0.16 1.41 0.16
 -------- 17:00 0.12 0.14 1.43 0.15
 -------- 18:00 0.11 0.14 1.45 0.16
 -------- 19:00 0.11 0.16 1.45 0.17
 17.11.12 20:00 0.11 0.15 1.46 0.15
 -------- 21:00 0.11 0.13 1.45 0.12
 -------- 22:00 0.13 0.13 1.46 0.14
 -------- 23:00 0.12 0.12 1.46 0.14
 -------- 00:00 0.11 0.12 1.45 0.13
 18.11.12 01:00 0.06 0.09 1.41 0.05
 -------- 02:00 0.07 0.10 1.42 0.07
 -------- 03:00 0.05 0.08 1.42 0.04
 -------- 04:00 0.04 0.08 1.42 0.04
 -------- 05:00 0.04 0.09 1.40 0.06
 18.11.12 06:00 0.05 0.09 1.39 0.04
 -------- 07:00 0.05 0.10 1.40 0.05
 -------- 08:00 0.06 0.11 1.41 0.05
 -------- 09:00 0.06 0.10 1.39 0.06
 -------- 10:00 0.07 0.10 1.38 0.07
 18.11.12 11:00 0.07 0.10 1.38 0.06
 -------- 12:00 0.07 0.10 1.39 0.06
 -------- 13:00 0.07 0.11 1.39 0.07
 -------- 14:00 0.08 0.10 1.39 0.06
 -------- 15:00 0.07 0.10 1.39 0.06
 18.11.12 16:00 0.07 0.10 1.38 0.06
 -------- 17:00 0.07 0.10 1.39 0.06
 -------- 18:00 0.08 0.10 1.40 0.06
 -------- 19:00 0.07 0.08 1.38 0.04
 -------- 20:00 0.06 0.08 1.38 0.04
 18.11.12 21:00 0.07 0.09 1.38 0.05
 -------- 22:00 0.05 0.09 1.37 0.04
 -------- 23:00 0.05 0.08 1.37 0.04
