 Date Time CO SO2 H2S NO2 CHX NO
 24.01.13 12:00 0.04 0.01 0.25 0.21 1.67 0.29
 -------- 13:00 0.03 0.01 0.25 0.22 1.71 0.26
 -------- 14:00 0.03 0.01 0.25 0.20 1.71 0.23
 -------- 15:00 0.05 0.01 0.25 0.21 1.70 0.21
 -------- 16:00 0.15 0.01 0.25 0.23 1.79 0.24
 24.01.13 17:00 0.09 0.01 0.25 0.21 1.70 0.19
 -------- 18:00 0.03 0.01 0.25 0.17 1.59 0.09
 -------- 19:00 0.04 0.01 0.25 0.18 1.66 0.12
 -------- 20:00 ---- 0.01 0.25 0.15 1.56 0.07
 -------- 21:00 ---- 0.01 0.25 0.17 1.57 0.07
 24.01.13 22:00 ---- 0.00 0.25 0.18 1.57 0.12
 -------- 23:00 ---- 0.00 0.12 0.17 1.55 0.14
 -------- 00:00 ---- 0.00 0.17 0.17 1.52 0.13
 -------- 01:00 ---- 0.00 0.12 0.13 1.49 0.04
 -------- 02:00 ---- 0.00 0.12 0.10 1.45 0.02
 25.01.13 03:00 ---- 0.00 0.12 0.10 1.45 0.02
 -------- 04:00 ---- 0.00 ---- 0.14 1.45 0.05
 -------- 05:00 ---- 0.00 0.12 0.17 1.48 0.13
 -------- 06:00 0.02 0.00 0.12 0.19 1.57 0.16
 -------- 07:00 0.05 0.00 0.12 0.20 1.74 0.25
 25.01.13 08:00 0.03 0.00 0.12 0.17 1.68 0.11
 -------- 09:00 0.02 0.00 ---- 0.15 1.59 0.09
 -------- 10:00 0.02 0.00 ---- 0.15 1.58 0.13
 -------- 11:00 0.03 0.00 ---- 0.16 1.59 0.14
 -------- 12:00 0.06 0.00 0.12 0.19 1.67 0.22
 25.01.13 13:00 0.05 0.00 0.12 0.17 1.60 0.15
 -------- 14:00 0.06 0.00 0.12 0.19 1.63 0.22
 -------- 15:00 0.06 0.00 0.12 0.18 1.64 0.20
 -------- 16:00 0.03 0.00 ---- 0.18 1.60 0.13
 -------- 17:00 0.03 0.00 ---- 0.18 1.62 0.11
 25.01.13 18:00 0.02 0.00 ---- 0.16 1.58 0.07
 -------- 19:00 0.02 ---- ---- 0.18 1.60 0.09
 -------- 20:00 0.04 ---- ---- 0.19 1.65 0.14
 -------- 21:00 0.03 ---- ---- 0.18 1.63 0.13
 -------- 22:00 0.06 ---- ---- 0.20 1.65 0.20
 25.01.13 23:00 0.05 ---- ---- 0.19 1.64 0.16
 -------- 00:00 0.05 0.00 2.12 0.18 1.61 0.15
 -------- 01:00 0.03 0.00 0.12 0.17 1.59 0.13
 -------- 02:00 0.02 0.00 0.12 0.17 1.58 0.11
 -------- 03:00 ---- ---- 0.12 0.16 1.56 0.08
 26.01.13 04:00 0.02 ---- 0.12 0.18 1.57 0.14
 -------- 05:00 ---- ---- ---- 0.16 1.54 0.13
 -------- 06:00 ---- ---- ---- 0.14 1.54 0.08
 -------- 07:00 ---- ---- ---- 0.12 1.50 0.03
 -------- 08:00 0.02 ---- ---- 0.13 1.52 0.05
 26.01.13 09:00 0.02 ---- ---- 0.13 1.56 0.06
 -------- 10:00 0.03 ---- ---- 0.16 1.60 0.09
 -------- 11:00 0.05 ---- ---- 0.17 1.62 0.16
