 Date Time CO SO2 H2S NO2 CHX NO
 23.01.13 12:00 0.03 0.00 0.12 0.18 1.66 0.22
 -------- 13:00 0.11 0.00 0.12 0.22 1.81 0.33
 -------- 14:00 0.03 0.00 0.12 0.16 1.67 0.12
 -------- 15:00 0.05 0.00 0.12 0.17 1.64 0.16
 -------- 16:00 0.03 0.00 0.12 0.19 1.58 0.16
 23.01.13 17:00 0.04 0.00 0.12 0.21 1.59 0.19
 -------- 18:00 0.07 0.00 0.12 0.23 1.71 0.20
 -------- 19:00 0.03 0.00 0.17 0.21 1.67 0.14
 -------- 20:00 0.06 0.00 0.12 0.22 1.70 0.21
 -------- 21:00 0.07 0.00 0.21 0.23 1.76 0.27
 23.01.13 22:00 0.03 0.00 0.25 0.17 1.60 0.16
 -------- 23:00 0.05 0.00 0.21 0.20 1.68 0.21
 -------- 00:00 0.05 0.00 0.17 0.22 1.76 0.32
 -------- 01:00 0.02 0.00 0.12 0.21 1.67 0.25
 -------- 02:00 ---- 0.00 0.12 0.20 1.65 0.18
 24.01.13 03:00 0.04 0.00 0.25 0.23 1.73 0.41
 -------- 04:00 0.03 0.01 0.25 0.21 1.71 0.31
 -------- 05:00 0.02 0.00 0.21 0.21 1.68 0.24
 -------- 06:00 0.03 0.00 0.25 0.21 1.78 0.24
 -------- 07:00 0.02 0.01 0.25 0.20 1.78 0.23
 24.01.13 08:00 0.03 0.01 0.25 0.21 1.81 0.22
 -------- 09:00 0.02 0.00 0.25 0.20 1.69 0.17
 -------- 10:00 0.02 0.00 0.25 0.20 1.66 0.19
 -------- 11:00 0.04 0.01 0.25 0.21 1.70 0.29
 -------- 12:00 0.04 0.01 0.25 0.21 1.66 0.29
 24.01.13 13:00 0.03 0.01 0.25 0.22 1.71 0.26
 -------- 14:00 0.03 0.01 0.25 0.20 1.71 0.23
 -------- 15:00 0.05 0.01 0.25 0.21 1.70 0.21
 -------- 16:00 0.15 0.01 0.25 0.23 1.79 0.24
 -------- 17:00 0.09 0.01 0.25 0.21 1.70 0.19
 24.01.13 18:00 0.03 0.01 0.25 0.17 1.59 0.09
 -------- 19:00 0.04 0.01 0.25 0.18 1.66 0.12
 -------- 20:00 ---- 0.01 0.25 0.15 1.56 0.07
 -------- 21:00 ---- 0.01 0.25 0.17 1.57 0.07
 -------- 22:00 ---- 0.00 0.25 0.18 1.57 0.12
 24.01.13 23:00 ---- 0.00 0.12 0.17 1.55 0.14
 -------- 00:00 ---- 0.00 0.17 0.17 1.52 0.13
 -------- 01:00 ---- 0.00 0.12 0.13 1.49 0.04
 -------- 02:00 ---- 0.00 0.12 0.10 1.45 0.02
 -------- 03:00 ---- 0.00 0.12 0.10 1.45 0.02
 25.01.13 04:00 ---- 0.00 ---- 0.14 1.45 0.05
 -------- 05:00 ---- 0.00 0.12 0.17 1.48 0.13
 -------- 06:00 0.02 0.00 0.12 0.19 1.57 0.16
 -------- 07:00 0.05 0.00 0.12 0.20 1.74 0.25
 -------- 08:00 0.03 0.00 0.12 0.17 1.68 0.11
 25.01.13 09:00 0.02 0.00 ---- 0.15 1.59 0.09
 -------- 10:00 0.02 0.00 ---- 0.15 1.58 0.13
 -------- 11:00 0.03 0.00 ---- 0.16 1.59 0.14
