 Date Time CO SO2 H2S NO2 CHX NO
 04.01.13 00:00 ---- 0.00 0.12 0.07 1.47 0.02
 -------- 01:00 ---- 0.00 0.17 0.08 1.45 0.02
 -------- 02:00 ---- 0.00 0.17 0.07 1.45 0.01
 -------- 03:00 ---- 0.00 0.21 0.05 1.45 0.01
 -------- 04:00 ---- 0.00 0.25 0.05 1.44 0.01
 04.01.13 05:00 ---- 0.00 0.25 0.05 1.43 0.01
 -------- 06:00 ---- 0.00 0.25 0.07 1.44 0.02
 -------- 07:00 ---- 0.00 0.21 0.11 1.49 0.09
 -------- 08:00 ---- 0.00 0.25 0.10 1.50 0.06
 -------- 09:00 ---- 0.00 0.25 0.10 1.50 0.06
 04.01.13 10:00 ---- 0.00 0.25 0.12 1.53 0.11
 -------- 11:00 0.02 0.00 0.25 0.12 1.54 0.11
 -------- 12:00 0.03 0.00 0.25 0.12 1.58 0.14
 -------- 13:00 0.04 0.00 0.25 0.13 1.64 0.18
 -------- 14:00 0.07 0.01 0.25 0.15 1.73 0.22
 04.01.13 15:00 0.05 0.00 0.25 0.15 1.66 0.17
 -------- 16:00 0.03 0.01 0.25 0.15 1.69 0.19
 -------- 17:00 0.04 0.01 0.25 0.15 1.67 0.16
 -------- 18:00 0.02 0.00 0.25 0.14 1.64 0.14
 -------- 19:00 0.04 0.01 0.25 0.14 1.62 0.16
 04.01.13 20:00 0.02 0.01 0.25 0.14 1.60 0.11
 -------- 21:00 0.02 0.01 0.25 0.13 1.55 0.13
 -------- 22:00 0.03 0.01 0.25 0.13 1.63 0.17
 -------- 23:00 0.04 0.01 0.25 0.14 1.62 0.21
 -------- 00:00 0.03 0.00 0.17 0.15 1.62 0.23
 05.01.13 01:00 0.06 0.00 0.25 0.14 1.60 0.20
 -------- 02:00 0.03 0.01 0.25 0.14 1.67 0.24
 -------- 03:00 ---- 0.00 0.25 0.13 1.67 0.19
 -------- 04:00 ---- 0.00 0.25 0.13 1.68 0.23
 -------- 05:00 ---- 0.00 0.25 0.14 1.58 0.14
 05.01.13 06:00 ---- 0.00 0.25 0.16 1.78 0.25
 -------- 07:00 0.02 0.01 0.25 0.15 1.78 0.26
 -------- 08:00 0.02 0.01 0.25 0.14 1.88 0.25
 -------- 09:00 0.02 0.01 0.25 0.14 1.88 0.23
 -------- 10:00 0.02 0.01 0.25 0.17 1.78 0.30
 05.01.13 11:00 0.02 0.01 0.25 0.18 1.73 0.27
 -------- 12:00 0.06 0.01 0.25 0.17 1.76 0.32
 -------- 13:00 0.03 0.01 0.25 0.16 1.79 0.30
 -------- 14:00 0.02 0.01 0.25 0.15 1.73 0.24
 -------- 15:00 0.03 0.01 0.25 0.14 1.65 0.23
 05.01.13 16:00 0.03 0.01 0.25 0.17 1.60 0.28
 -------- 17:00 0.04 0.01 0.25 0.16 1.60 0.27
 -------- 18:00 0.04 0.01 0.25 0.15 1.69 0.27
 -------- 19:00 0.05 0.01 0.29 0.16 1.85 0.30
 -------- 20:00 0.04 0.01 0.29 0.16 1.83 0.25
 05.01.13 21:00 0.02 0.01 0.29 0.15 1.77 0.24
 -------- 22:00 0.03 0.01 0.29 0.14 1.74 0.23
 -------- 23:00 0.02 0.01 0.29 0.14 1.67 0.21
