 Date Time CO SO2 H2S NO2 CHX NO
 21.03.13 00:00 0.08 0.00 0.12 0.24 1.56 0.24
 -------- 01:00 0.11 0.00 0.12 0.24 1.62 0.20
 -------- 02:00 0.05 0.00 0.21 0.23 1.50 0.18
 -------- 03:00 0.03 0.00 0.12 0.19 1.48 0.14
 -------- 04:00 0.02 0.00 0.17 0.18 1.47 0.13
 21.03.13 05:00 0.03 0.00 0.12 0.18 1.49 0.15
 -------- 06:00 0.03 0.00 0.12 0.19 1.58 0.13
 -------- 07:00 0.06 ---- 0.25 0.20 1.71 0.13
 -------- 08:00 0.09 0.00 0.21 0.21 1.71 0.17
 -------- 09:00 0.13 0.00 0.17 0.23 1.74 0.21
 21.03.13 10:00 0.11 0.00 0.25 0.22 1.78 0.22
 -------- 11:00 0.08 0.00 0.12 0.19 1.73 0.16
 -------- 12:00 0.14 0.01 0.17 0.19 1.75 0.18
 -------- 13:00 0.10 0.00 0.12 0.18 1.68 0.16
 -------- 14:00 0.08 0.00 0.12 0.18 1.65 0.13
 21.03.13 15:00 0.10 0.00 0.12 0.18 1.62 0.15
 -------- 16:00 0.09 0.00 0.12 0.18 1.56 0.13
 -------- 17:00 0.10 0.00 0.12 0.18 1.59 0.13
 -------- 18:00 0.09 0.00 0.12 0.14 1.54 0.06
 -------- 19:00 0.05 0.00 0.12 0.14 1.51 0.06
 21.03.13 20:00 0.07 0.00 0.12 0.16 1.57 0.06
 -------- 21:00 0.13 0.00 0.12 0.23 1.58 0.14
 -------- 22:00 0.17 0.00 0.12 0.29 1.59 0.28
 -------- 23:00 0.15 0.00 0.12 0.30 1.53 0.33
 -------- 00:00 0.13 0.00 0.12 0.28 1.59 0.28
 22.03.13 01:00 0.11 0.00 0.25 0.29 1.75 0.27
 -------- 02:00 0.07 0.00 0.12 0.26 1.64 0.18
 -------- 03:00 0.05 0.00 0.12 0.24 1.62 0.13
 -------- 04:00 0.05 0.00 0.12 0.23 1.69 0.13
 -------- 05:00 0.07 0.00 0.12 0.24 1.65 0.20
 22.03.13 06:00 0.10 0.00 0.12 0.25 1.64 0.25
 -------- 07:00 0.15 0.00 0.21 0.26 1.66 0.35
 -------- 08:00 0.19 0.00 0.25 0.26 1.72 0.30
 -------- 09:00 0.16 0.00 0.21 0.25 1.78 0.26
 -------- 10:00 0.15 0.01 0.25 0.25 2.02 0.25
 22.03.13 11:00 0.14 0.01 0.21 0.25 2.01 0.25
 -------- 12:00 0.11 0.01 0.12 0.23 1.66 0.22
 -------- 13:00 0.12 0.01 0.12 0.20 1.71 0.19
 -------- 14:00 0.15 0.01 0.21 0.22 1.75 0.29
 -------- 15:00 0.14 0.01 0.12 0.24 1.65 0.28
 22.03.13 16:00 0.22 0.01 0.12 0.24 1.67 0.27
 -------- 17:00 0.20 0.01 0.12 0.25 1.65 0.28
 -------- 18:00 0.15 0.01 0.12 0.26 1.58 0.28
 -------- 19:00 0.12 0.01 0.12 0.23 1.54 0.21
 -------- 20:00 0.14 0.00 0.12 0.24 1.55 0.26
 22.03.13 21:00 0.15 0.00 0.12 0.22 1.57 0.26
 -------- 22:00 0.15 0.00 0.12 0.22 1.54 0.32
 -------- 23:00 0.14 0.00 0.12 0.21 1.51 0.31
