 Date Time CO NO2 CHX NO PM2.5
 30.04.13 12:00 0.07 0.18 1.45 0.09 ----
 -------- 13:00 0.07 0.17 1.41 0.08 ----
 -------- 14:00 0.09 0.15 1.43 0.08 ----
 -------- 15:00 0.09 0.15 1.43 0.10 ----
 -------- 16:00 0.12 0.15 1.45 0.13 ----
 30.04.13 17:00 0.13 0.16 1.44 0.15 ----
 -------- 18:00 0.09 0.13 1.41 0.11 ----
 -------- 19:00 0.12 0.16 1.43 0.13 ----
 -------- 20:00 0.09 0.15 1.43 0.10 ----
 -------- 21:00 0.12 0.17 1.44 0.12 ----
 30.04.13 22:00 0.11 0.17 1.44 0.13 ----
 -------- 23:00 0.13 0.20 1.47 0.15 ----
 -------- 00:00 0.12 0.19 1.49 0.15 ----
 -------- 01:00 0.11 0.18 1.50 0.14 ----
 -------- 02:00 0.09 0.17 1.50 0.13 ----
 01.05.13 03:00 0.06 0.15 1.58 0.11 ----
 -------- 04:00 0.09 0.17 1.55 0.17 ----
 -------- 05:00 0.15 0.20 1.56 0.30 ----
 -------- 06:00 0.15 0.19 1.53 0.29 ----
 -------- 07:00 0.15 0.19 1.52 0.26 ----
 01.05.13 08:00 0.11 0.14 1.48 0.15 ----
 -------- 09:00 0.09 0.10 1.44 0.11 ----
 -------- 10:00 0.07 0.09 1.41 0.09 ----
 -------- 11:00 0.07 0.08 1.40 0.08 ----
 -------- 12:00 0.04 0.04 1.38 0.06 ----
 01.05.13 13:00 0.05 0.03 1.38 0.05 ----
 -------- 14:00 0.05 0.03 1.37 0.05 ----
 -------- 15:00 0.05 0.05 1.38 0.06 ----
 -------- 16:00 0.05 0.04 1.38 0.06 ----
 -------- 17:00 0.06 0.07 1.39 0.07 ----
 01.05.13 18:00 0.07 0.09 1.41 0.08 ----
 -------- 19:00 0.07 0.09 1.42 0.08 ----
 -------- 20:00 0.08 0.11 1.43 0.09 ----
 -------- 21:00 0.07 0.13 1.47 0.09 ----
 -------- 22:00 0.12 0.19 1.55 0.13 ----
 01.05.13 23:00 0.25 0.24 1.67 0.34 ----
 -------- 00:00 0.37 0.26 1.78 0.58 ----
 -------- 01:00 0.29 0.26 1.79 0.48 ----
 -------- 02:00 0.21 0.25 1.67 0.38 ----
 -------- 03:00 0.15 0.23 1.64 0.30 ----
 02.05.13 04:00 0.15 0.21 1.68 0.30 ----
 -------- 05:00 0.13 0.19 1.70 0.24 ----
 -------- 06:00 0.13 0.19 1.72 0.24 ----
 -------- 07:00 0.10 0.17 1.72 0.17 ----
 -------- 08:00 0.10 0.18 1.63 0.16 ----
 02.05.13 09:00 0.10 0.19 1.57 0.15 ----
 -------- 10:00 0.06 0.12 1.45 0.09 ----
 -------- 11:00 0.03 0.05 1.40 0.06 ----
