 Date Time CO NO2 CHX NO
 04.10.12 00:00 0.22 0.11 1.62 0.36
 -------- 01:00 0.22 0.10 1.62 0.33
 -------- 02:00 0.17 0.11 1.64 0.33
 -------- 03:00 0.14 0.10 1.69 0.25
 -------- 04:00 0.18 0.12 1.71 0.32
 04.10.12 05:00 0.18 0.11 1.76 0.30
 -------- 06:00 0.20 0.10 1.78 0.33
 -------- 07:00 0.22 0.10 1.83 0.35
 -------- 08:00 0.33 0.11 1.82 0.43
 -------- 09:00 0.30 0.11 1.71 0.40
 04.10.12 10:00 0.26 0.11 1.63 0.31
 -------- 11:00 0.23 0.11 1.61 0.29
 -------- 12:00 0.23 0.13 1.67 0.27
 -------- 13:00 0.21 0.14 1.67 0.22
 -------- 14:00 0.12 0.12 1.56 0.08
 04.10.12 15:00 0.13 0.13 1.56 0.09
 -------- 16:00 0.09 0.11 1.48 0.04
 -------- 17:00 0.13 0.14 1.47 0.05
 -------- 18:00 0.10 0.10 1.43 0.03
 -------- 19:00 0.10 0.12 1.45 0.03
 04.10.12 20:00 0.09 0.10 1.46 0.02
 -------- 21:00 0.10 0.10 1.46 0.04
 -------- 22:00 0.13 0.10 1.45 0.08
 -------- 23:00 0.13 0.10 1.42 0.10
 -------- 00:00 0.09 0.10 1.39 0.07
 05.10.12 01:00 0.06 0.09 1.37 0.03
 -------- 02:00 0.05 0.08 1.38 0.03
 -------- 03:00 0.02 0.06 1.36 0.01
 -------- 04:00 0.03 0.08 1.37 0.01
 -------- 05:00 0.05 0.10 1.42 0.08
 05.10.12 06:00 0.13 0.13 1.51 0.24
 -------- 07:00 0.25 0.16 1.57 0.38
 -------- 08:00 0.35 0.17 1.70 0.40
 -------- 09:00 0.33 0.16 1.73 0.37
 -------- 10:00 0.35 0.17 1.70 0.40
 05.10.12 11:00 0.31 0.19 1.75 0.42
 -------- 12:00 0.28 0.17 1.67 0.39
 -------- 13:00 0.25 0.15 1.64 0.31
 -------- 14:00 0.29 0.16 1.68 0.33
 -------- 15:00 0.24 0.17 1.63 0.26
 05.10.12 16:00 0.18 0.17 1.63 0.14
 -------- 17:00 0.09 0.13 1.47 0.03
 -------- 18:00 0.04 0.10 1.44 0.01
 -------- 19:00 0.05 0.10 1.44 0.01
 -------- 20:00 0.09 0.11 1.46 0.02
 05.10.12 21:00 0.11 0.10 1.45 0.02
 -------- 22:00 0.10 0.11 1.42 0.03
 -------- 23:00 0.09 0.10 1.42 0.05
