 Date Time CO SO2 H2S NO2 CHX NO
 02.01.13 00:00 ---- 0.00 0.12 0.12 1.54 0.04
 -------- 01:00 ---- 0.00 0.17 0.08 1.47 0.01
 -------- 02:00 ---- 0.00 0.12 0.07 1.48 ----
 -------- 03:00 ---- 0.00 0.17 0.06 1.48 ----
 -------- 04:00 ---- 0.00 0.25 0.07 1.47 ----
 02.01.13 05:00 ---- 0.00 0.12 0.07 1.45 0.00
 -------- 06:00 ---- 0.00 0.17 0.07 1.44 0.01
 -------- 07:00 ---- 0.00 0.17 0.07 1.45 ----
 -------- 08:00 ---- 0.00 0.12 0.08 1.47 ----
 -------- 09:00 ---- 0.00 0.12 0.08 1.50 ----
 02.01.13 10:00 ---- 0.00 0.12 0.08 1.51 0.00
 -------- 11:00 ---- 0.00 0.12 0.10 1.51 0.01
 -------- 12:00 ---- 0.00 0.12 0.10 1.51 0.01
 -------- 13:00 ---- 0.00 0.12 0.10 1.54 0.02
 -------- 14:00 ---- 0.00 0.17 0.10 1.53 0.02
 02.01.13 15:00 ---- 0.00 0.12 0.11 1.57 0.02
 -------- 16:00 ---- 0.00 0.12 0.15 1.64 0.06
 -------- 17:00 ---- 0.00 0.17 0.16 1.62 0.04
 -------- 18:00 ---- 0.00 0.21 0.16 1.68 0.04
 -------- 19:00 ---- 0.00 0.17 0.13 1.58 0.02
 02.01.13 20:00 ---- 0.00 0.17 0.13 1.62 0.03
 -------- 21:00 ---- 0.00 0.21 0.12 1.58 0.02
 -------- 22:00 ---- 0.00 0.17 0.10 1.51 0.02
 -------- 23:00 ---- 0.00 0.12 0.09 1.48 0.01
 -------- 00:00 ---- 0.00 0.12 0.09 1.46 0.01
 03.01.13 01:00 ---- 0.00 0.12 0.07 1.44 0.01
 -------- 02:00 ---- 0.00 0.17 0.05 1.44 ----
 -------- 03:00 ---- 0.00 0.12 0.05 1.45 ----
 -------- 04:00 ---- 0.00 0.12 0.06 1.47 ----
 -------- 05:00 ---- 0.00 0.12 0.07 1.53 ----
 03.01.13 06:00 ---- 0.00 0.12 0.09 1.54 0.01
 -------- 07:00 ---- 0.00 0.12 0.10 1.51 0.00
 -------- 08:00 ---- 0.00 0.12 0.10 1.55 0.01
 -------- 09:00 ---- 0.00 0.12 0.12 1.59 0.02
 -------- 10:00 ---- 0.00 0.12 0.13 1.57 0.03
 03.01.13 11:00 ---- 0.00 0.12 0.13 1.57 0.04
 -------- 12:00 ---- 0.00 0.12 0.14 1.57 0.06
 -------- 13:00 ---- 0.00 0.12 0.13 1.58 0.06
 -------- 14:00 ---- 0.00 0.21 0.13 1.58 0.06
 -------- 15:00 ---- 0.00 0.12 0.12 1.63 0.05
 03.01.13 16:00 0.02 0.00 0.21 0.13 1.67 0.08
 -------- 17:00 0.02 0.00 0.25 0.13 1.68 0.10
 -------- 18:00 0.02 0.00 0.25 0.13 1.64 0.08
 -------- 19:00 ---- 0.00 0.25 0.11 1.55 0.05
 -------- 20:00 ---- 0.00 0.25 0.13 1.60 0.05
 03.01.13 21:00 ---- 0.00 0.25 0.09 1.53 0.04
 -------- 22:00 ---- 0.00 0.25 0.07 1.51 0.02
 -------- 23:00 ---- 0.00 0.25 0.09 1.50 0.03
