 Date Time CO NO2 CHX NO
 18.12.12 12:00 0.16 0.20 1.83 0.45
 -------- 13:00 0.16 0.21 1.88 0.46
 -------- 14:00 0.17 0.23 1.93 0.51
 -------- 15:00 0.16 0.23 1.92 0.58
 -------- 16:00 0.13 0.23 1.86 0.50
 18.12.12 17:00 0.10 0.24 1.86 0.34
 -------- 18:00 0.11 0.21 1.87 0.22
 -------- 19:00 0.10 0.21 1.83 0.22
 -------- 20:00 0.11 0.21 1.82 0.24
 -------- 21:00 0.10 0.21 1.81 0.28
 18.12.12 22:00 0.09 0.21 1.83 0.26
 -------- 23:00 0.07 0.20 1.77 0.24
 -------- 00:00 0.08 0.19 1.76 0.35
 -------- 01:00 0.04 0.19 1.67 0.28
 -------- 02:00 0.02 0.18 1.61 0.17
 19.12.12 03:00 0.02 0.18 1.63 0.20
 -------- 04:00 ---- 0.17 1.63 0.16
 -------- 05:00 ---- 0.18 1.65 0.20
 -------- 06:00 0.04 0.19 1.69 0.26
 -------- 07:00 0.03 0.20 1.71 0.35
 19.12.12 08:00 0.05 0.20 1.72 0.34
 -------- 09:00 0.09 0.20 1.71 0.33
 -------- 10:00 0.06 0.18 1.65 0.24
 -------- 11:00 0.10 0.19 1.67 0.34
 -------- 12:00 0.11 0.20 1.70 0.39
 19.12.12 13:00 0.11 0.20 1.71 0.33
 -------- 14:00 0.10 0.21 1.71 0.38
 -------- 15:00 0.17 0.23 1.85 0.48
 -------- 16:00 0.17 0.24 1.80 0.49
 -------- 17:00 0.13 0.24 1.72 0.42
 19.12.12 18:00 0.13 0.24 1.76 0.38
 -------- 19:00 0.10 0.24 1.76 0.40
 -------- 20:00 0.11 0.24 1.75 0.38
 -------- 21:00 0.11 0.23 1.71 0.30
 -------- 22:00 0.11 0.23 1.72 0.30
 19.12.12 23:00 0.09 0.24 1.72 0.33
 -------- 00:00 0.07 0.23 1.73 0.30
 -------- 01:00 0.04 0.22 1.70 0.28
 -------- 02:00 0.02 0.22 1.69 0.25
 -------- 03:00 0.02 0.22 1.85 0.24
 20.12.12 04:00 0.02 0.21 1.95 0.21
 -------- 05:00 0.03 0.21 1.90 0.21
 -------- 06:00 0.05 0.23 1.87 0.34
 -------- 07:00 0.11 0.25 1.93 0.54
 -------- 08:00 0.13 0.27 2.09 0.55
 20.12.12 09:00 0.15 0.27 2.12 0.57
 -------- 10:00 0.17 0.27 2.14 0.66
 -------- 11:00 0.20 0.27 2.10 0.69
