 Date Time CO SO2 H2S CHX
 27.02.13 00:00 0.02 0.01 0.12 1.42
 -------- 01:00 0.02 0.01 0.17 1.41
 -------- 02:00 ---- 0.01 0.25 1.41
 -------- 03:00 ---- 0.01 0.25 1.48
 -------- 04:00 0.02 0.01 0.25 1.44
 27.02.13 05:00 0.04 0.01 0.25 1.45
 -------- 06:00 0.05 0.01 0.25 1.46
 -------- 07:00 0.10 0.01 0.25 1.48
 -------- 08:00 0.14 0.01 0.25 1.52
 -------- 09:00 0.13 0.01 0.25 1.55
 27.02.13 10:00 0.12 0.01 0.25 1.54
 -------- 11:00 0.12 0.01 0.25 1.54
 -------- 12:00 0.10 0.01 0.25 1.52
 -------- 13:00 0.13 0.01 0.29 1.52
 -------- 14:00 0.11 0.01 0.25 1.48
 27.02.13 15:00 0.12 0.01 0.25 1.51
 -------- 16:00 0.13 0.01 0.25 1.57
 -------- 17:00 0.10 0.01 0.25 1.64
 -------- 18:00 0.08 0.01 0.21 1.54
 -------- 19:00 0.15 0.01 0.25 1.57
 27.02.13 20:00 0.20 0.01 0.25 1.64
 -------- 21:00 0.29 0.01 0.25 1.68
 -------- 22:00 0.13 0.01 0.25 1.51
 -------- 23:00 0.10 0.01 0.25 1.54
 -------- 00:00 0.09 0.01 0.17 1.55
 28.02.13 01:00 0.04 0.01 0.12 1.50
 -------- 02:00 0.03 0.00 0.12 1.46
 -------- 03:00 0.03 0.00 0.12 1.44
 -------- 04:00 0.02 0.00 0.12 1.42
 -------- 05:00 ---- 0.00 0.12 1.42
 28.02.13 06:00 0.02 0.00 0.12 1.45
 -------- 07:00 0.04 0.00 0.12 1.49
 -------- 08:00 0.07 0.00 0.17 1.52
 -------- 09:00 0.08 0.00 0.12 1.50
 -------- 10:00 0.08 0.00 0.17 1.48
 28.02.13 11:00 0.11 0.01 0.21 1.49
 -------- 12:00 0.13 0.01 0.21 1.48
 -------- 13:00 0.13 0.01 0.21 1.49
 -------- 14:00 0.11 0.01 0.12 1.48
 -------- 15:00 0.13 0.00 0.12 1.49
 28.02.13 16:00 0.11 0.00 0.12 1.49
 -------- 17:00 0.17 0.00 0.12 1.59
 -------- 18:00 0.17 0.00 0.12 1.65
 -------- 19:00 0.19 0.00 ---- 1.69
 -------- 20:00 0.16 0.00 ---- 1.67
 28.02.13 21:00 0.17 0.00 0.12 1.62
 -------- 22:00 0.19 0.00 0.12 1.58
 -------- 23:00 0.16 0.00 0.12 1.66
