 Date Time CO NO2 CHX NO PM2.5
 28.03.13 12:00 0.07 0.20 1.49 0.13 ----
 -------- 13:00 0.07 0.19 1.50 0.14 ----
 -------- 14:00 0.05 0.17 1.54 0.13 ----
 -------- 15:00 0.10 0.25 1.65 0.22 ----
 -------- 16:00 0.15 0.32 1.85 0.29 ----
 28.03.13 17:00 0.11 0.25 1.70 0.17 ----
 -------- 18:00 0.07 0.25 1.71 0.13 ----
 -------- 19:00 0.15 0.33 1.76 0.19 ----
 -------- 20:00 0.22 0.41 1.69 0.36 ----
 -------- 21:00 0.19 0.39 1.64 0.28 ----
 28.03.13 22:00 0.16 0.38 1.58 0.27 ----
 -------- 23:00 0.17 0.37 1.58 0.33 ----
 -------- 00:00 0.18 0.39 1.59 0.41 ----
 -------- 01:00 0.21 0.39 1.62 0.55 ----
 -------- 02:00 0.18 0.39 1.62 0.49 ----
 29.03.13 03:00 0.13 0.37 1.56 0.42 ----
 -------- 04:00 0.15 0.38 1.60 0.51 ----
 -------- 05:00 0.14 0.39 1.60 0.57 ----
 -------- 06:00 0.13 0.36 1.58 0.38 ----
 -------- 07:00 0.17 0.38 1.67 0.45 ----
 29.03.13 08:00 0.19 0.39 1.70 0.40 ----
 -------- 09:00 0.23 0.41 1.76 0.46 ----
 -------- 10:00 0.15 0.36 1.65 0.31 ----
 -------- 11:00 0.15 0.36 1.64 0.31 ----
 -------- 12:00 0.09 0.27 1.52 0.17 ----
 29.03.13 13:00 0.06 0.21 1.53 0.12 ----
 -------- 14:00 0.04 0.21 1.54 0.12 ----
 -------- 15:00 0.07 0.21 1.57 0.13 ----
 -------- 16:00 0.10 0.25 1.65 0.14 ----
 -------- 17:00 0.13 0.27 1.69 0.16 ----
 29.03.13 18:00 0.15 0.27 1.64 0.16 ----
 -------- 19:00 0.22 0.38 1.73 0.28 ----
 -------- 20:00 0.36 0.51 1.86 0.52 ----
 -------- 21:00 0.26 0.45 1.72 0.40 ----
 -------- 22:00 0.45 0.51 1.89 0.96 ----
 29.03.13 23:00 0.26 0.43 1.70 0.47 ----
 -------- 00:00 0.63 0.55 2.11 1.53 ----
 -------- 01:00 0.41 0.55 2.04 1.26 ----
 -------- 02:00 0.29 0.49 2.13 0.91 ----
 -------- 03:00 0.20 0.46 1.99 0.68 ----
 30.03.13 04:00 0.11 0.43 1.85 0.55 ----
 -------- 05:00 0.04 0.35 1.60 0.15 ----
 -------- 06:00 0.02 0.36 1.56 0.14 ----
 -------- 07:00 0.03 0.38 1.63 0.23 ----
 -------- 08:00 0.03 0.36 1.56 0.19 ----
 30.03.13 09:00 0.05 0.41 1.65 0.30 ----
 -------- 10:00 0.02 0.35 1.56 0.16 ----
 -------- 11:00 0.09 0.35 1.61 0.19 ----
