 Date Time CO SO2 NO2 CHX NO
 15.01.13 00:00 0.02 0.00 0.09 1.40 ----
 -------- 01:00 0.02 0.00 0.08 1.40 ----
 -------- 02:00 0.02 0.00 0.08 1.40 ----
 -------- 03:00 0.02 0.00 0.08 1.40 ----
 -------- 04:00 0.02 0.00 0.04 1.37 ----
 15.01.13 05:00 0.02 0.00 0.05 1.37 ----
 -------- 06:00 0.02 0.00 0.07 1.38 ----
 -------- 07:00 0.03 0.00 0.13 1.41 0.01
 -------- 08:00 0.04 0.00 0.21 1.44 ----
 -------- 09:00 0.04 0.00 0.24 1.44 ----
 15.01.13 10:00 0.05 0.00 0.24 1.45 ----
 -------- 11:00 0.04 0.00 0.24 1.45 ----
 -------- 12:00 0.04 0.00 0.24 1.45 0.01
 -------- 13:00 0.05 0.00 0.24 1.46 0.01
 -------- 14:00 0.05 0.00 0.23 1.47 0.01
 15.01.13 15:00 0.04 0.00 0.23 1.46 0.00
 -------- 16:00 0.05 0.00 0.27 1.47 0.01
 -------- 17:00 0.06 0.01 0.32 1.49 0.01
 -------- 18:00 0.06 0.01 0.32 1.47 ----
 -------- 19:00 0.08 0.00 0.32 1.46 ----
 15.01.13 20:00 0.10 0.00 0.33 1.47 0.00
 -------- 21:00 0.11 0.00 0.35 1.55 0.01
 -------- 22:00 0.10 0.00 0.28 1.48 ----
 -------- 23:00 0.07 0.00 0.18 1.42 ----
 -------- 00:00 0.07 0.00 0.21 1.45 0.00
 16.01.13 01:00 0.07 0.00 0.25 1.44 0.01
 -------- 02:00 0.08 0.00 0.32 1.48 0.03
 -------- 03:00 0.07 0.00 0.33 1.50 0.02
 -------- 04:00 0.06 0.00 0.32 1.50 0.00
 -------- 05:00 0.06 0.00 0.32 1.46 ----
 16.01.13 06:00 0.06 0.00 0.29 1.48 ----
 -------- 07:00 0.07 0.00 0.32 1.47 0.01
 -------- 08:00 0.09 0.00 0.37 1.51 0.04
 -------- 09:00 0.10 0.00 0.38 1.55 0.06
 -------- 10:00 0.13 0.01 0.37 1.59 0.08
 16.01.13 11:00 0.13 0.01 0.37 1.59 0.11
 -------- 12:00 0.11 0.01 0.33 1.58 0.09
 -------- 13:00 0.11 0.00 0.32 1.58 0.08
 -------- 14:00 0.15 0.01 0.38 1.66 0.18
 -------- 15:00 0.15 0.01 0.38 1.71 0.19
 16.01.13 16:00 0.17 0.01 0.40 1.75 0.23
 -------- 17:00 0.17 0.01 0.39 1.78 0.20
 -------- 18:00 0.15 0.02 0.39 1.86 0.17
 -------- 19:00 0.11 0.08 0.38 1.84 0.15
 -------- 20:00 0.12 0.03 0.38 1.89 0.17
 16.01.13 21:00 0.07 0.02 0.34 1.80 0.10
 -------- 22:00 0.04 0.01 0.31 1.65 0.05
 -------- 23:00 0.03 0.02 0.30 1.68 0.02
