 Date Time CO SO2 NO2 CHX NO
 25.12.12 12:00 0.06 0.01 0.26 1.50 0.02
 -------- 13:00 0.08 0.01 0.26 1.50 0.02
 -------- 14:00 0.06 0.01 0.24 1.50 0.01
 -------- 15:00 0.06 0.02 0.23 1.50 0.01
 -------- 16:00 0.06 0.01 0.20 1.49 0.00
 25.12.12 17:00 0.06 0.01 0.20 1.51 0.01
 -------- 18:00 0.07 0.01 0.26 1.53 0.01
 -------- 19:00 0.08 0.01 0.30 1.54 0.02
 -------- 20:00 0.08 0.01 0.29 1.54 0.02
 -------- 21:00 0.08 0.01 0.28 1.52 0.02
 25.12.12 22:00 0.08 0.01 0.28 1.51 0.02
 -------- 23:00 0.07 0.01 0.28 1.50 0.01
 -------- 00:00 0.06 0.01 0.19 1.48 ----
 -------- 01:00 0.05 0.01 0.13 1.45 ----
 -------- 02:00 0.05 0.01 0.10 1.44 0.00
 26.12.12 03:00 0.04 0.01 0.10 1.44 0.00
 -------- 04:00 0.04 0.01 0.10 1.45 ----
 -------- 05:00 0.04 0.01 0.10 1.46 ----
 -------- 06:00 0.06 0.01 0.11 1.46 ----
 -------- 07:00 0.06 0.01 0.14 1.48 ----
 26.12.12 08:00 0.07 0.01 0.14 1.49 ----
 -------- 09:00 0.06 0.01 0.16 1.48 ----
 -------- 10:00 0.07 0.00 0.17 1.49 ----
 -------- 11:00 0.08 0.00 0.20 1.51 0.01
 -------- 12:00 0.08 0.00 0.17 1.57 0.01
 26.12.12 13:00 0.08 0.01 0.17 1.52 0.01
 -------- 14:00 0.08 0.00 0.16 1.51 ----
 -------- 15:00 0.09 0.00 0.18 1.53 0.00
 -------- 16:00 0.09 0.00 0.20 1.55 0.00
 -------- 17:00 0.09 0.00 0.21 1.53 0.01
 26.12.12 18:00 0.10 0.00 0.24 1.53 0.01
 -------- 19:00 0.06 0.00 0.22 1.50 0.00
 -------- 20:00 ---- 0.00 0.23 1.51 0.00
 -------- 21:00 ---- 0.00 0.19 1.49 ----
 -------- 22:00 ---- 0.00 0.16 1.47 ----
 26.12.12 23:00 ---- 0.00 0.15 1.47 ----
 -------- 00:00 ---- 0.00 0.13 1.44 ----
 -------- 01:00 ---- 0.00 0.11 1.42 ----
 -------- 02:00 ---- 0.00 0.11 1.42 ----
 -------- 03:00 ---- 0.00 0.12 1.42 ----
 27.12.12 04:00 ---- 0.00 0.15 1.46 ----
 -------- 05:00 ---- 0.00 0.15 1.43 ----
 -------- 06:00 ---- 0.00 0.16 1.44 ----
 -------- 07:00 0.05 0.00 0.17 1.43 ----
 -------- 08:00 0.06 0.00 0.16 1.43 ----
 27.12.12 09:00 0.06 0.00 0.19 1.45 0.00
 -------- 10:00 0.07 0.00 0.21 1.46 0.00
 -------- 11:00 0.08 0.00 0.23 1.46 0.01
