 Date Time CO SO2 NO2 CHX NO
 30.12.12 00:00 0.02 0.00 0.09 1.40 ----
 -------- 01:00 0.02 0.00 0.10 1.39 ----
 -------- 02:00 0.02 0.00 0.08 1.39 ----
 -------- 03:00 0.02 0.00 0.07 1.39 ----
 -------- 04:00 ---- 0.00 0.07 1.39 ----
 30.12.12 05:00 0.02 0.00 0.08 1.39 ----
 -------- 06:00 0.02 0.00 0.09 1.40 ----
 -------- 07:00 0.05 0.00 0.10 1.40 ----
 -------- 08:00 0.06 0.00 0.09 1.40 ----
 -------- 09:00 0.07 0.00 0.11 1.41 ----
 30.12.12 10:00 0.08 0.00 0.12 1.42 ----
 -------- 11:00 0.08 0.00 0.13 1.42 ----
 -------- 12:00 0.08 0.00 0.13 1.43 ----
 -------- 13:00 0.08 0.00 0.15 1.45 ----
 -------- 14:00 0.09 0.00 0.18 1.47 0.00
 30.12.12 15:00 0.10 0.00 0.20 1.46 0.01
 -------- 16:00 0.10 0.00 0.21 1.45 ----
 -------- 17:00 0.10 0.00 0.21 1.45 ----
 -------- 18:00 0.09 0.00 0.25 1.46 0.00
 -------- 19:00 0.06 0.00 0.28 1.49 0.01
 30.12.12 20:00 0.04 0.00 0.28 1.48 0.01
 -------- 21:00 0.04 0.00 0.28 1.51 0.02
 -------- 22:00 0.06 0.00 0.28 1.56 0.05
 -------- 23:00 0.08 0.00 0.30 1.70 0.14
 -------- 00:00 0.10 0.00 0.30 1.65 0.19
 31.12.12 01:00 0.10 0.00 0.32 1.63 0.21
 -------- 02:00 0.10 0.00 0.32 1.69 0.16
 -------- 03:00 0.10 0.00 0.32 1.62 0.15
 -------- 04:00 0.07 0.00 0.30 1.58 0.09
 -------- 05:00 0.04 0.00 0.25 1.51 0.03
 31.12.12 06:00 0.04 0.00 0.23 1.52 0.01
 -------- 07:00 0.07 0.00 0.23 1.49 0.00
 -------- 08:00 0.08 0.00 0.21 1.48 0.00
 -------- 09:00 0.08 0.00 0.23 1.49 0.01
 -------- 10:00 0.09 0.00 0.23 1.48 0.01
 31.12.12 11:00 0.09 0.00 0.21 1.48 0.02
 -------- 12:00 0.07 0.00 0.20 1.46 0.01
 -------- 13:00 0.06 0.00 0.17 1.45 0.01
 -------- 14:00 0.08 0.00 0.18 1.46 0.01
 -------- 15:00 0.09 0.00 0.20 1.48 0.01
 31.12.12 16:00 0.09 0.00 0.21 1.50 0.01
 -------- 17:00 0.09 0.00 0.23 1.50 0.00
 -------- 18:00 0.08 0.00 0.21 1.48 ----
 -------- 19:00 0.07 0.00 0.21 1.48 ----
 -------- 20:00 0.06 0.00 0.19 1.50 ----
 31.12.12 21:00 0.07 0.00 0.23 1.60 0.00
 -------- 22:00 0.08 0.00 0.24 1.53 ----
 -------- 23:00 0.08 0.00 0.25 1.55 0.00
