 Date Time CO SO2 NO2 CHX NO
 20.11.12 12:00 0.10 0.00 0.15 1.96 0.09
 -------- 13:00 0.06 0.00 0.16 1.96 0.07
 -------- 14:00 0.06 0.00 0.18 1.94 0.06
 -------- 15:00 0.05 0.00 0.19 1.93 0.04
 -------- 16:00 0.04 0.00 0.19 1.92 0.01
 20.11.12 17:00 0.04 0.00 0.18 1.91 0.01
 -------- 18:00 0.04 0.00 0.20 1.93 ----
 -------- 19:00 0.08 0.00 0.21 1.92 0.00
 -------- 20:00 0.12 0.00 0.21 1.92 0.00
 -------- 21:00 0.11 0.00 0.18 1.92 ----
 20.11.12 22:00 0.10 0.00 0.13 1.92 ----
 -------- 23:00 0.10 0.00 0.12 1.92 ----
 -------- 00:00 0.08 0.00 0.10 1.89 ----
 -------- 01:00 0.08 0.00 0.08 1.90 ----
 -------- 02:00 0.08 0.00 0.07 1.91 ----
 21.11.12 03:00 0.08 0.00 0.07 1.90 ----
 -------- 04:00 0.08 0.00 0.06 1.96 ----
 -------- 05:00 0.08 0.00 0.06 1.95 ----
 -------- 06:00 0.08 0.00 0.09 1.93 ----
 -------- 07:00 0.05 0.00 0.20 1.97 0.01
 21.11.12 08:00 0.04 0.00 0.24 2.08 0.02
 -------- 09:00 0.03 0.00 0.23 2.02 0.02
 -------- 10:00 0.04 0.00 0.21 2.01 0.01
 -------- 11:00 0.03 0.00 0.20 2.08 0.01
 -------- 12:00 0.04 0.00 0.22 2.13 0.04
 21.11.12 13:00 0.04 0.00 0.21 2.13 0.04
 -------- 14:00 0.04 0.00 0.21 2.13 0.04
 -------- 15:00 0.04 0.00 0.21 2.17 0.03
 -------- 16:00 0.04 0.00 0.21 2.17 0.03
 -------- 17:00 0.04 0.00 0.22 2.17 0.03
 21.11.12 18:00 0.04 0.00 0.23 2.16 0.02
 -------- 19:00 0.06 0.00 0.23 2.16 0.01
 -------- 20:00 0.07 0.00 0.24 2.17 0.01
 -------- 21:00 0.06 0.00 0.25 2.17 0.02
 -------- 22:00 0.10 0.00 0.25 2.20 0.03
 21.11.12 23:00 0.06 0.00 0.24 2.20 0.02
 -------- 00:00 0.05 0.00 0.24 2.29 0.01
 -------- 01:00 0.04 0.00 0.22 2.32 0.00
 -------- 02:00 0.04 0.00 0.22 2.28 0.01
 -------- 03:00 0.04 0.00 0.19 2.21 ----
 22.11.12 04:00 0.04 0.00 0.17 2.21 ----
 -------- 05:00 0.03 0.00 0.17 2.20 ----
 -------- 06:00 0.04 0.00 0.20 2.23 0.01
 -------- 07:00 0.05 0.00 0.21 2.35 0.02
 -------- 08:00 0.09 0.00 0.23 2.34 0.07
 22.11.12 09:00 0.11 0.00 0.24 2.38 0.11
 -------- 10:00 0.11 0.00 0.24 2.43 0.10
 -------- 11:00 0.09 0.00 0.24 2.34 0.07
