 Date Time CO SO2 NO2 CHX NO
 09.05.13 00:00 0.27 0.00 0.32 1.80 0.21
 -------- 01:00 0.36 0.00 0.24 2.02 0.35
 -------- 02:00 0.32 ---- 0.21 2.04 0.35
 -------- 03:00 0.34 0.00 0.17 2.05 0.40
 -------- 04:00 0.28 ---- 0.19 1.96 0.35
 09.05.13 05:00 0.15 ---- 0.27 1.79 0.17
 -------- 06:00 0.12 ---- 0.24 1.85 0.17
 -------- 07:00 0.14 0.00 0.23 7.38 0.18
 -------- 08:00 0.07 0.03 0.26 5.14 0.04
 -------- 09:00 0.06 0.02 0.24 1.64 0.04
 09.05.13 10:00 0.04 0.01 0.17 1.49 0.02
 -------- 11:00 0.03 0.00 0.13 1.45 0.02
 -------- 12:00 0.03 0.00 0.10 1.48 0.01
 -------- 13:00 0.04 0.00 0.11 1.39 0.01
 -------- 14:00 0.06 0.00 0.10 1.35 0.01
 09.05.13 15:00 0.07 ---- 0.08 1.32 0.01
 -------- 16:00 0.07 ---- 0.06 1.29 0.01
 -------- 17:00 0.08 ---- 0.06 1.29 0.01
 -------- 18:00 0.08 ---- 0.06 1.30 0.01
 -------- 19:00 0.02 ---- 0.07 1.30 0.01
 09.05.13 20:00 0.02 ---- 0.07 1.33 0.01
 -------- 21:00 0.15 0.00 0.24 1.88 0.03
 -------- 22:00 0.29 0.00 0.37 1.77 0.13
 -------- 23:00 0.61 0.01 0.23 2.20 0.49
 -------- 00:00 0.61 0.00 0.17 2.24 0.54
 10.05.13 01:00 0.40 0.00 0.26 2.16 0.37
 -------- 02:00 0.21 ---- 0.33 2.07 0.16
 -------- 03:00 0.02 ---- 0.15 1.45 0.01
 -------- 04:00 ---- ---- 0.08 1.42 0.00
 -------- 05:00 ---- ---- 0.09 1.46 0.00
 10.05.13 06:00 ---- ---- 0.10 1.45 0.01
 -------- 07:00 0.02 ---- 0.11 1.44 0.01
 -------- 08:00 0.02 0.00 0.10 1.47 0.01
 -------- 09:00 0.02 0.00 0.12 1.49 0.01
 -------- 10:00 0.02 0.00 0.13 1.46 0.01
 10.05.13 11:00 0.03 0.00 0.10 1.37 0.01
 -------- 12:00 0.04 0.00 0.07 1.34 0.01
 -------- 13:00 0.04 ---- 0.06 1.30 0.01
 -------- 14:00 0.06 ---- 0.05 1.28 0.01
 -------- 15:00 0.08 ---- 0.07 1.30 0.01
 10.05.13 16:00 0.10 ---- 0.07 1.30 0.01
 -------- 17:00 0.10 ---- 0.06 1.27 0.01
 -------- 18:00 0.11 ---- 0.07 1.28 0.01
 -------- 19:00 ---- ---- 0.08 1.29 0.01
 -------- 20:00 ---- ---- 0.10 1.31 0.01
 10.05.13 21:00 ---- ---- 0.15 1.34 0.01
 -------- 22:00 ---- ---- 0.12 1.34 0.00
 -------- 23:00 ---- ---- 0.23 1.42 0.01
