 Date Time CO SO2 NO2 CHX NO
 02.12.12 23:00 ---- 0.00 0.19 ---- ----
 -------- 00:00 ---- 0.00 0.21 ---- ----
 -------- 01:00 ---- 0.00 0.24 ---- ----
 -------- 02:00 ---- 0.00 0.25 ---- ----
 -------- 03:00 0.02 0.00 0.25 ---- 0.01
 03.12.12 04:00 0.03 0.00 0.28 ---- 0.04
 -------- 05:00 ---- 0.00 0.28 ---- 0.04
 -------- 06:00 0.04 0.00 0.28 ---- 0.06
 -------- 07:00 0.06 0.00 0.29 ---- 0.03
 -------- 08:00 0.08 0.01 0.30 ---- 0.13
 03.12.12 09:00 0.06 0.01 0.27 ---- 0.09
 -------- 10:00 0.06 0.01 0.28 0.72 0.09
 -------- 11:00 0.07 0.02 0.27 1.55 0.07
 -------- 12:00 0.05 0.02 0.29 1.49 0.14
 -------- 13:00 0.05 0.01 0.26 1.47 0.06
 03.12.12 14:00 0.06 0.01 0.28 1.55 0.06
 -------- 15:00 0.06 0.01 0.27 1.52 0.04
 -------- 16:00 0.05 0.01 0.26 1.52 0.02
 -------- 17:00 0.05 0.01 0.25 1.49 0.01
 -------- 18:00 0.04 0.00 0.23 1.49 0.01
 03.12.12 19:00 0.03 0.00 0.23 1.51 0.01
 -------- 20:00 0.02 0.00 0.19 1.50 0.00
 -------- 21:00 0.02 0.00 0.18 1.56 0.00
 -------- 22:00 0.02 0.00 0.17 1.57 ----
 -------- 23:00 ---- 0.00 0.15 1.53 ----
 04.12.12 00:00 ---- 0.00 0.12 1.50 ----
 -------- 01:00 ---- 0.00 0.12 1.52 ----
 -------- 02:00 ---- 0.00 0.09 1.54 0.00
 -------- 03:00 ---- 0.00 0.10 1.53 ----
 -------- 04:00 0.02 0.00 0.11 1.54 ----
 04.12.12 05:00 0.02 0.00 0.15 1.54 0.01
 -------- 06:00 0.03 0.00 0.17 1.49 0.02
 -------- 07:00 0.04 0.00 0.18 1.52 0.01
 -------- 08:00 0.06 0.00 0.20 1.54 0.02
 -------- 09:00 0.06 0.00 0.20 1.54 0.04
 04.12.12 10:00 0.09 0.01 0.21 1.58 0.08
 -------- 11:00 0.10 0.02 0.21 1.61 0.13
 -------- 12:00 0.09 0.01 0.20 1.56 0.10
 -------- 13:00 0.10 0.01 0.22 1.52 0.11
 -------- 14:00 0.09 0.00 0.19 1.48 0.08
 04.12.12 15:00 0.10 0.00 0.17 1.49 0.06
 -------- 16:00 0.10 0.00 0.15 1.48 0.04
 -------- 17:00 0.08 0.00 0.18 1.46 0.01
 -------- 18:00 0.06 0.00 0.15 1.43 0.01
 -------- 19:00 ---- 0.00 0.15 1.40 0.01
