 Date Time CO SO2 NO2 CHX NO
 13.04.13 00:00 0.17 0.00 0.51 1.61 0.15
 -------- 01:00 0.23 0.00 0.49 1.73 0.22
 -------- 02:00 0.12 0.00 0.55 1.75 0.11
 -------- 03:00 0.12 0.00 0.53 1.67 0.09
 -------- 04:00 0.06 0.00 0.47 1.57 0.01
 13.04.13 05:00 0.07 0.00 0.49 1.60 0.04
 -------- 06:00 0.10 0.00 0.50 1.72 0.09
 -------- 07:00 0.19 0.00 0.39 2.06 0.31
 -------- 08:00 0.16 0.02 0.40 1.83 0.22
 -------- 09:00 0.07 0.01 0.36 1.56 0.10
 13.04.13 10:00 0.04 0.02 0.27 1.44 0.02
 -------- 11:00 0.02 0.01 0.18 1.38 0.01
 -------- 12:00 0.02 0.01 0.12 1.36 ----
 -------- 13:00 0.02 0.01 0.13 1.34 ----
 -------- 14:00 0.03 0.00 0.13 1.35 ----
 13.04.13 15:00 0.04 0.00 0.13 1.34 ----
 -------- 16:00 0.05 0.00 0.14 1.35 0.01
 -------- 17:00 0.06 0.00 0.16 1.34 0.01
 -------- 18:00 0.06 0.00 0.15 1.35 ----
 -------- 19:00 0.02 0.01 0.20 1.36 ----
 13.04.13 20:00 0.04 0.01 0.29 1.38 ----
 -------- 21:00 0.04 0.00 0.34 1.40 ----
 -------- 22:00 0.03 0.01 0.39 1.43 ----
 -------- 23:00 0.02 0.01 0.40 1.42 ----
 -------- 00:00 0.02 0.00 0.37 1.43 0.04
 14.04.13 01:00 ---- 0.00 0.28 1.43 0.06
 -------- 02:00 ---- 0.00 0.26 1.41 ----
 -------- 03:00 ---- 0.00 0.28 1.42 ----
 -------- 04:00 ---- 0.01 0.22 1.40 ----
 -------- 05:00 ---- 0.01 0.24 1.41 ----
 14.04.13 06:00 ---- 0.01 0.23 1.41 ----
 -------- 07:00 0.02 0.01 0.24 1.40 ----
 -------- 08:00 0.02 0.01 0.27 1.44 0.02
 -------- 09:00 0.04 0.02 0.30 1.45 0.02
 -------- 10:00 0.03 0.02 0.22 1.42 0.01
 14.04.13 11:00 0.04 0.02 0.20 1.42 0.00
 -------- 12:00 0.04 0.01 0.17 1.38 0.01
 -------- 13:00 0.03 0.01 0.14 1.36 ----
 -------- 14:00 0.04 0.01 0.14 1.36 ----
 -------- 15:00 0.04 0.00 0.12 1.35 ----
 14.04.13 16:00 0.06 0.00 0.14 1.34 0.01
 -------- 17:00 0.06 0.00 0.16 1.34 0.03
 -------- 18:00 0.06 0.00 0.15 1.34 ----
 -------- 19:00 0.05 0.00 0.25 1.36 ----
 -------- 20:00 0.07 0.00 0.35 1.41 ----
 14.04.13 21:00 0.07 0.00 0.42 1.43 ----
 -------- 22:00 0.09 0.00 0.55 1.47 0.03
 -------- 23:00 0.08 0.00 0.52 1.48 0.04
