 Date Time CO SO2 NO2 CHX NO
 16.05.13 00:00 ---- ---- 0.21 1.35 0.01
 -------- 01:00 0.06 ---- 0.29 1.71 0.06
 -------- 02:00 0.06 ---- 0.27 1.84 0.08
 -------- 03:00 0.02 ---- 0.25 1.68 0.04
 -------- 04:00 ---- ---- 0.19 1.60 0.01
 16.05.13 05:00 ---- ---- 0.20 1.59 0.03
 -------- 06:00 ---- ---- 0.19 1.69 0.06
 -------- 07:00 0.07 ---- 0.21 1.58 0.04
 -------- 08:00 0.06 0.00 0.19 1.53 0.03
 -------- 09:00 0.04 0.00 0.15 1.44 0.02
 16.05.13 10:00 0.05 0.03 0.20 1.47 0.03
 -------- 11:00 0.06 ---- 0.22 1.45 0.03
 -------- 12:00 0.03 0.04 0.21 1.57 0.02
 -------- 13:00 ---- 0.02 ---- 1.55 0.03
 -------- 14:00 ---- 0.00 0.06 1.45 0.01
 16.05.13 15:00 ---- 0.00 0.06 1.44 0.01
 -------- 16:00 ---- 0.00 0.05 1.41 0.01
 -------- 17:00 ---- 0.00 0.05 1.43 0.02
 -------- 18:00 ---- 0.00 0.11 1.44 0.02
 -------- 19:00 0.13 0.01 0.17 1.58 0.03
 16.05.13 20:00 0.25 0.01 0.15 1.78 0.11
 -------- 21:00 0.34 0.01 0.14 1.99 0.20
 -------- 22:00 0.33 0.01 0.11 1.91 0.17
 -------- 23:00 0.11 0.00 0.14 1.57 0.02
 -------- 00:00 0.07 0.00 0.09 1.41 0.01
 17.05.13 01:00 0.07 0.02 0.10 1.44 0.01
 -------- 02:00 0.06 0.01 0.09 1.43 0.01
 -------- 03:00 0.06 0.00 0.08 1.48 0.01
 -------- 04:00 0.05 0.00 0.09 1.48 0.01
 -------- 05:00 0.05 ---- 0.06 1.37 0.01
 17.05.13 06:00 0.05 0.00 0.05 1.36 0.01
 -------- 07:00 0.06 0.00 0.11 1.44 0.02
 -------- 08:00 0.07 0.00 0.10 1.43 0.02
 -------- 09:00 0.07 0.00 0.08 1.44 0.02
 -------- 10:00 0.06 0.00 0.07 1.47 0.01
 17.05.13 11:00 0.05 0.01 0.08 1.38 0.02
 -------- 12:00 0.04 0.01 0.06 1.35 0.01
 -------- 13:00 0.04 0.00 0.04 1.35 0.01
 -------- 14:00 0.04 0.00 0.06 1.36 0.01
 -------- 15:00 0.02 0.00 0.03 1.34 0.01
 17.05.13 16:00 0.05 0.01 0.06 1.43 0.01
 -------- 17:00 0.07 0.00 0.06 1.44 0.01
 -------- 18:00 0.06 0.01 0.05 1.38 0.01
 -------- 19:00 ---- 0.01 0.04 1.40 0.02
 -------- 20:00 ---- 0.00 0.06 1.43 0.01
 17.05.13 21:00 0.02 0.00 0.06 1.47 0.01
 -------- 22:00 0.02 0.00 0.06 1.42 0.01
 -------- 23:00 0.02 0.00 0.07 1.43 0.01
