 Date Time CO SO2 NO2 CHX NO
 17.12.12 23:00 0.06 0.00 0.26 1.52 0.01
 -------- 00:00 0.06 0.01 0.27 1.57 0.02
 -------- 01:00 0.08 0.03 0.29 1.66 0.05
 -------- 02:00 0.05 0.01 0.24 1.54 0.01
 -------- 03:00 0.05 0.01 0.21 1.52 ----
 18.12.12 04:00 0.04 0.00 0.22 1.53 ----
 -------- 05:00 0.05 0.01 0.25 1.54 0.01
 -------- 06:00 0.07 0.01 0.27 1.57 0.03
 -------- 07:00 0.10 0.01 0.28 1.58 0.06
 -------- 08:00 0.10 0.01 0.29 1.59 0.07
 18.12.12 09:00 0.10 0.01 0.28 1.59 0.08
 -------- 10:00 0.11 0.01 0.27 1.66 0.12
 -------- 11:00 0.09 0.01 0.25 1.62 0.10
 -------- 12:00 0.11 0.01 0.26 1.64 0.12
 -------- 13:00 0.11 0.01 0.27 1.65 0.13
 18.12.12 14:00 0.11 0.01 0.27 1.64 0.12
 -------- 15:00 0.08 0.01 0.27 1.60 0.08
 -------- 16:00 0.07 0.01 0.29 1.58 0.05
 -------- 17:00 0.07 0.02 0.29 1.56 0.03
 -------- 18:00 0.06 0.01 0.28 1.56 0.03
 18.12.12 19:00 0.06 0.01 0.27 1.55 0.03
 -------- 20:00 0.06 0.01 0.26 1.56 0.03
 -------- 21:00 0.06 0.00 0.25 1.62 0.02
 -------- 22:00 0.05 0.00 0.25 1.62 0.02
 -------- 23:00 0.04 0.01 0.22 1.57 0.01
 19.12.12 00:00 0.04 0.01 0.20 1.52 ----
 -------- 01:00 0.03 0.01 0.18 1.49 0.00
 -------- 02:00 0.02 0.01 0.18 1.51 0.00
 -------- 03:00 0.03 0.01 0.20 1.52 ----
 -------- 04:00 0.04 0.01 0.21 1.52 ----
 19.12.12 05:00 0.03 0.01 0.21 1.51 0.01
 -------- 06:00 0.05 0.01 0.25 1.53 0.03
 -------- 07:00 0.07 0.01 0.26 1.57 0.06
 -------- 08:00 0.07 0.01 0.27 1.57 0.06
 -------- 09:00 0.06 0.01 0.27 1.56 0.05
 19.12.12 10:00 0.06 0.01 0.26 1.56 0.06
 -------- 11:00 0.06 0.02 0.25 1.55 0.07
 -------- 12:00 0.06 0.02 0.23 1.52 0.05
 -------- 13:00 0.07 0.02 0.23 1.51 0.07
 -------- 14:00 0.07 0.01 0.23 1.51 0.06
 19.12.12 15:00 0.09 0.01 0.27 1.56 0.08
 -------- 16:00 0.09 0.01 0.28 1.68 0.07
 -------- 17:00 0.09 0.01 0.31 1.54 0.07
 -------- 18:00 0.10 0.01 0.32 1.54 0.08
 -------- 19:00 0.09 0.01 0.32 1.53 0.07
 19.12.12 20:00 0.07 0.01 0.33 1.54 0.06
 -------- 21:00 0.09 0.01 0.34 1.56 0.08
 -------- 22:00 0.09 0.01 0.34 1.56 0.10
