 Date Time CO SO2 NO2 CHX NO
 01.12.12 00:00 0.02 0.00 0.16 1.44 0.00
 -------- 01:00 0.02 0.00 0.16 1.46 0.02
 -------- 02:00 0.05 0.00 0.24 1.48 0.03
 -------- 03:00 0.02 0.00 0.18 1.43 0.01
 -------- 04:00 ---- 0.00 0.12 1.41 0.00
 01.12.12 05:00 0.02 0.00 0.10 1.42 ----
 -------- 06:00 0.02 0.00 0.11 1.42 ----
 -------- 07:00 0.03 0.00 0.14 1.43 0.00
 -------- 08:00 0.03 0.00 0.15 1.44 0.00
 -------- 09:00 0.04 0.00 0.14 1.44 0.01
 01.12.12 10:00 0.05 0.00 0.14 1.49 0.04
 -------- 11:00 0.06 0.00 0.13 1.53 0.03
 -------- 12:00 0.06 0.00 0.13 1.55 0.04
 -------- 13:00 0.06 0.00 0.13 1.59 0.04
 -------- 14:00 0.07 0.00 0.15 1.56 0.06
 01.12.12 15:00 0.09 0.00 0.16 1.54 0.07
 -------- 16:00 0.08 0.00 0.16 1.55 0.08
 -------- 17:00 0.09 0.00 0.16 1.60 0.08
 -------- 18:00 0.07 0.00 0.15 1.56 0.06
 -------- 19:00 0.11 0.00 0.15 1.58 0.11
 01.12.12 20:00 0.12 0.00 0.16 1.60 0.14
 -------- 21:00 0.15 0.00 0.16 1.63 0.19
 -------- 22:00 0.08 0.00 0.15 1.52 0.08
 -------- 23:00 0.09 0.00 0.14 1.55 0.08
 -------- 00:00 0.13 0.00 0.14 1.59 0.13
 02.12.12 01:00 0.13 0.00 0.15 1.61 0.17
 -------- 02:00 0.07 0.00 0.14 1.60 0.07
 -------- 03:00 0.04 0.00 0.15 1.52 0.02
 -------- 04:00 0.04 0.00 0.14 1.50 0.02
 -------- 05:00 0.02 0.00 0.12 1.48 0.01
 02.12.12 06:00 0.05 0.00 0.13 1.51 0.02
 -------- 07:00 0.07 0.00 0.13 1.58 0.04
 -------- 08:00 0.07 0.00 0.16 1.50 0.04
 -------- 09:00 0.07 0.00 0.16 1.48 0.04
 -------- 10:00 0.06 0.00 0.15 1.52 0.02
 02.12.12 11:00 0.07 0.00 0.16 1.35 0.03
 -------- 12:00 0.03 0.00 0.15 ---- 0.03
 -------- 13:00 0.02 0.00 0.13 ---- 0.01
 -------- 14:00 0.05 0.00 0.15 ---- 0.02
 -------- 15:00 0.06 0.00 0.17 ---- 0.01
 02.12.12 16:00 0.06 0.00 0.18 ---- 0.01
 -------- 17:00 0.06 0.00 0.18 ---- 0.01
 -------- 18:00 0.05 0.00 0.21 ---- 0.01
 -------- 19:00 0.03 0.00 0.20 ---- 0.01
 -------- 20:00 0.02 0.00 0.19 ---- ----
 02.12.12 21:00 0.02 0.00 0.20 ---- ----
 -------- 22:00 ---- 0.00 0.22 ---- ----
