 Date Time CO SO2 NO2 CHX NO
 04.03.13 00:00 0.02 0.01 0.14 1.40 0.01
 -------- 01:00 0.02 0.01 0.14 1.42 ----
 -------- 02:00 0.02 0.01 0.15 1.42 0.00
 -------- 03:00 0.02 0.01 0.13 1.50 0.01
 -------- 04:00 0.02 0.01 0.13 1.49 ----
 04.03.13 05:00 0.02 0.01 0.15 1.42 ----
 -------- 06:00 0.02 0.01 0.19 1.43 ----
 -------- 07:00 0.04 0.01 0.30 1.44 ----
 -------- 08:00 0.06 0.01 0.30 1.47 ----
 -------- 09:00 0.06 0.01 0.32 1.46 0.01
 04.03.13 10:00 0.05 0.01 0.29 1.44 0.03
 -------- 11:00 0.06 0.01 0.26 1.45 0.03
 -------- 12:00 0.04 0.01 0.22 1.44 0.03
 -------- 13:00 0.04 0.01 0.20 1.43 0.02
 -------- 14:00 0.04 0.01 0.16 1.42 0.01
 04.03.13 15:00 0.04 0.01 0.15 1.42 0.01
 -------- 16:00 0.04 0.01 0.12 1.41 ----
 -------- 17:00 0.04 0.01 0.14 1.41 ----
 -------- 18:00 0.04 0.01 0.16 1.42 ----
 -------- 19:00 0.07 0.01 0.19 1.42 ----
 04.03.13 20:00 0.07 0.01 0.18 1.42 ----
 -------- 21:00 0.08 0.01 0.20 1.43 ----
 -------- 22:00 0.08 0.00 0.23 1.42 ----
 -------- 23:00 0.08 0.01 0.21 1.43 ----
 -------- 00:00 0.06 0.01 0.24 1.44 0.00
 05.03.13 01:00 0.07 0.01 0.29 1.46 ----
 -------- 02:00 0.06 0.01 0.33 1.46 ----
 -------- 03:00 0.06 0.01 0.30 1.46 ----
 -------- 04:00 0.07 0.01 0.33 1.47 0.00
 -------- 05:00 0.07 0.01 0.39 1.50 0.01
 05.03.13 06:00 0.09 0.01 0.43 1.63 0.05
 -------- 07:00 0.11 0.01 0.45 1.79 0.09
 -------- 08:00 0.17 0.01 0.47 1.75 0.16
 -------- 09:00 0.21 0.01 0.49 1.79 0.24
 -------- 10:00 0.19 0.01 0.46 1.79 0.21
 05.03.13 11:00 0.13 0.01 0.35 1.55 0.11
 -------- 12:00 0.09 0.01 0.30 1.51 0.07
 -------- 13:00 0.12 0.01 0.40 1.63 0.14
 -------- 14:00 0.10 0.01 0.34 1.53 0.08
 -------- 15:00 0.07 0.01 0.28 1.47 0.04
 05.03.13 16:00 0.07 0.01 0.33 1.49 0.05
 -------- 17:00 0.06 0.00 0.28 1.46 0.01
 -------- 18:00 0.06 0.00 0.29 1.45 0.01
 -------- 19:00 0.08 0.00 0.32 1.47 ----
 -------- 20:00 0.13 0.01 0.43 1.53 0.11
 05.03.13 21:00 0.17 0.01 0.50 1.61 0.15
 -------- 22:00 0.15 0.01 0.47 1.58 0.12
 -------- 23:00 0.13 0.01 0.48 1.56 0.07
