 Date Time CO SO2 NO2 CHX NO
 10.11.12 00:00 0.02 0.00 0.15 1.37 ----
 -------- 01:00 0.02 0.00 0.14 1.35 ----
 -------- 02:00 0.02 0.00 0.10 1.34 ----
 -------- 03:00 0.02 0.00 0.12 1.35 ----
 -------- 04:00 0.03 0.00 0.11 1.36 ----
 10.11.12 05:00 0.02 0.00 0.12 1.36 ----
 -------- 06:00 0.02 0.00 0.13 1.37 ----
 -------- 07:00 0.02 0.00 0.13 1.37 ----
 -------- 08:00 0.02 0.00 0.13 1.37 ----
 -------- 09:00 0.02 0.00 0.15 1.37 ----
 10.11.12 10:00 0.02 0.00 0.18 1.38 ----
 -------- 11:00 0.03 0.00 0.21 1.40 0.01
 -------- 12:00 0.02 0.00 0.19 1.41 0.01
 -------- 13:00 0.02 0.00 0.20 1.41 0.01
 -------- 14:00 0.02 0.00 0.20 1.42 0.01
 10.11.12 15:00 0.02 0.00 0.19 1.39 0.01
 -------- 16:00 0.02 0.00 0.19 1.39 ----
 -------- 17:00 0.02 0.00 0.21 1.40 ----
 -------- 18:00 0.04 0.00 0.25 1.41 ----
 -------- 19:00 0.04 0.00 0.25 1.40 ----
 10.11.12 20:00 0.08 0.00 0.30 1.44 0.02
 -------- 21:00 0.09 0.00 0.31 1.44 0.07
 -------- 22:00 0.11 0.00 0.32 1.46 0.09
 -------- 23:00 0.10 0.01 0.32 1.52 0.08
 -------- 00:00 0.10 0.01 0.31 1.52 0.12
 11.11.12 01:00 0.14 0.01 0.29 1.55 0.19
 -------- 02:00 0.13 0.00 0.29 1.58 0.14
 -------- 03:00 0.16 0.01 0.29 1.66 0.20
 -------- 04:00 0.14 0.00 0.29 1.60 0.18
 -------- 05:00 0.14 0.01 0.28 1.62 0.15
 11.11.12 06:00 0.06 0.01 0.27 1.51 0.06
 -------- 07:00 0.05 0.00 0.26 1.50 0.03
 -------- 08:00 0.05 0.00 0.28 1.50 0.04
 -------- 09:00 0.06 0.00 0.27 1.53 0.05
 -------- 10:00 0.06 0.00 0.26 1.53 0.06
 11.11.12 11:00 0.05 0.00 0.22 1.48 0.03
 -------- 12:00 0.02 0.00 0.15 1.43 0.00
 -------- 13:00 0.03 0.00 0.14 1.44 0.00
 -------- 14:00 0.03 0.00 0.13 1.42 ----
 -------- 15:00 0.04 0.00 0.16 1.43 0.00
 11.11.12 16:00 0.05 0.00 0.19 1.44 0.01
 -------- 17:00 0.06 0.00 0.23 1.47 0.03
 -------- 18:00 0.07 0.00 0.27 1.48 0.04
 -------- 19:00 0.08 0.00 0.27 1.47 0.05
 -------- 20:00 0.07 0.00 0.27 1.42 0.02
 11.11.12 21:00 0.06 0.00 0.24 1.43 0.01
 -------- 22:00 0.05 0.00 0.21 1.48 ----
 -------- 23:00 0.04 0.00 0.18 1.41 ----
