 Date Time CO SO2 NO2 CHX NO
 23.01.13 00:00 0.04 0.00 0.31 1.58 ----
 -------- 01:00 0.04 0.00 0.31 1.56 0.00
 -------- 02:00 0.04 0.01 0.30 1.52 ----
 -------- 03:00 0.03 0.00 0.27 1.50 ----
 -------- 04:00 0.02 0.00 0.23 1.49 ----
 23.01.13 05:00 0.03 0.00 0.23 1.52 0.00
 -------- 06:00 0.03 0.00 0.26 1.48 ----
 -------- 07:00 0.06 0.00 0.31 1.52 0.02
 -------- 08:00 0.11 0.00 0.34 1.58 0.05
 -------- 09:00 0.11 0.01 0.36 1.65 0.07
 23.01.13 10:00 0.12 0.01 0.36 1.67 0.11
 -------- 11:00 0.13 0.01 0.35 1.65 0.14
 -------- 12:00 0.13 0.01 0.36 1.66 0.17
 -------- 13:00 0.12 0.01 0.33 1.64 0.14
 -------- 14:00 0.09 0.01 0.26 1.56 0.07
 23.01.13 15:00 0.08 0.01 0.26 1.53 0.06
 -------- 16:00 0.06 0.00 0.25 1.49 0.02
 -------- 17:00 0.10 0.00 0.35 1.52 0.04
 -------- 18:00 0.11 0.01 0.39 1.57 0.07
 -------- 19:00 0.09 0.00 0.38 1.54 0.04
 23.01.13 20:00 0.06 0.00 0.37 1.51 0.02
 -------- 21:00 0.08 0.00 0.39 1.55 0.05
 -------- 22:00 0.07 0.00 0.38 1.57 0.06
 -------- 23:00 0.04 0.00 0.30 1.49 0.01
 -------- 00:00 0.06 0.01 0.36 1.52 0.04
 24.01.13 01:00 0.06 0.01 0.38 1.52 0.05
 -------- 02:00 0.05 0.00 0.39 1.50 0.03
 -------- 03:00 0.06 0.00 0.39 1.53 0.09
 -------- 04:00 0.07 0.00 0.37 1.65 0.09
 -------- 05:00 0.11 0.01 0.41 1.96 0.25
 24.01.13 06:00 0.09 0.00 0.41 1.86 0.20
 -------- 07:00 0.07 0.00 0.40 1.64 0.12
 -------- 08:00 0.13 0.01 0.41 1.77 0.22
 -------- 09:00 0.11 0.00 0.40 1.73 0.15
 -------- 10:00 0.09 0.00 0.38 1.65 0.09
 24.01.13 11:00 0.15 0.01 0.43 1.73 0.27
 -------- 12:00 0.15 0.01 0.40 1.87 0.27
 -------- 13:00 0.12 0.01 0.38 1.74 0.17
 -------- 14:00 0.09 0.01 0.36 1.67 0.10
 -------- 15:00 0.07 0.00 0.35 1.62 0.06
 24.01.13 16:00 0.05 0.00 0.29 1.49 0.01
 -------- 17:00 0.03 0.00 0.25 1.46 ----
 -------- 18:00 0.04 0.00 0.19 1.45 ----
 -------- 19:00 0.05 0.00 0.18 1.44 ----
 -------- 20:00 0.06 0.00 0.18 1.44 ----
 24.01.13 21:00 0.06 0.00 0.22 1.45 ----
 -------- 22:00 0.06 0.00 0.19 1.44 0.00
 -------- 23:00 0.05 0.00 0.15 1.43 ----
