 Date Time CO SO2 OZ NO2 CHX NO
 02.04.13 00:00 0.06 ---- 0.19 0.13 1.46 0.02
 -------- 01:00 0.07 ---- 0.18 0.13 1.47 0.02
 -------- 02:00 0.05 ---- 0.21 0.08 1.46 0.00
 -------- 03:00 0.04 ---- 0.25 0.06 1.45 ----
 -------- 04:00 0.04 ---- 0.27 0.03 1.40 ----
 02.04.13 05:00 0.05 ---- 0.26 0.05 1.42 0.01
 -------- 06:00 0.11 ---- 0.21 0.08 1.46 0.01
 -------- 07:00 0.07 ---- 0.17 0.12 1.44 0.02
 -------- 08:00 0.08 ---- 0.18 0.11 1.45 0.03
 -------- 09:00 0.12 ---- 0.18 0.14 1.52 0.08
 02.04.13 10:00 0.09 ---- 0.25 0.12 1.48 0.04
 -------- 11:00 0.13 ---- 0.20 0.17 1.51 0.09
 -------- 12:00 0.12 ---- 0.27 0.15 1.48 0.07
 -------- 13:00 0.10 ---- 0.30 0.14 1.47 0.06
 -------- 14:00 0.13 ---- 0.31 0.18 1.50 0.07
 02.04.13 15:00 0.09 ---- 0.31 0.17 1.49 0.06
 -------- 16:00 0.11 ---- 0.31 0.18 1.54 0.07
 -------- 17:00 0.13 ---- 0.30 0.21 1.52 0.09
 -------- 18:00 0.12 ---- 0.27 0.24 1.53 0.08
 -------- 19:00 0.15 ---- 0.23 0.27 1.54 0.09
 02.04.13 20:00 0.13 ---- 0.27 0.20 1.54 0.06
 -------- 21:00 0.14 ---- 0.27 0.22 1.53 0.06
 -------- 22:00 0.08 ---- 0.32 0.15 1.46 0.02
 -------- 23:00 0.09 ---- 0.28 0.18 1.48 0.04
 -------- 00:00 0.09 ---- 0.29 0.15 1.47 0.02
 03.04.13 01:00 0.09 ---- 0.31 0.12 1.47 0.02
 -------- 02:00 0.06 ---- 0.36 0.07 1.45 0.00
 -------- 03:00 0.06 ---- 0.36 0.07 1.45 0.00
 -------- 04:00 0.07 ---- 0.33 0.09 1.47 0.01
 -------- 05:00 0.10 ---- 0.25 0.14 1.47 0.03
 03.04.13 06:00 0.11 ---- 0.24 0.15 1.52 0.03
 -------- 07:00 0.14 ---- 0.17 0.20 1.56 0.06
 -------- 08:00 0.27 ---- 0.09 0.30 1.74 0.19
 -------- 09:00 0.17 ---- 0.08 0.26 1.66 0.13
 -------- 10:00 0.13 ---- 0.14 0.22 1.65 0.10
 03.04.13 11:00 0.14 ---- 0.11 0.24 1.57 0.12
 -------- 12:00 0.12 ---- 0.12 0.24 1.54 0.11
 -------- 13:00 0.11 ---- 0.15 0.22 1.50 0.10
 -------- 14:00 0.11 ---- 0.18 0.22 1.47 0.09
 -------- 15:00 0.10 ---- 0.18 0.23 1.51 0.10
 03.04.13 16:00 0.09 ---- 0.22 0.20 1.50 0.06
 -------- 17:00 0.10 ---- 0.26 0.23 1.47 0.07
 -------- 18:00 0.10 ---- 0.22 0.27 1.49 0.09
 -------- 19:00 0.08 ---- 0.29 0.19 1.48 0.06
 -------- 20:00 0.07 ---- 0.34 0.15 1.42 0.02
 03.04.13 21:00 0.21 ---- 0.24 0.27 1.56 0.17
 -------- 22:00 0.50 ---- 0.03 0.44 2.11 0.56
 -------- 23:00 0.27 ---- 0.02 0.37 1.92 0.20
