 Date Time SO2 OZ NO2 CHX NO
 09.11.12 00:00 0.00 0.26 0.10 1.42 0.03
 -------- 01:00 0.00 0.25 0.09 1.36 0.03
 -------- 02:00 0.00 0.32 0.07 1.32 0.02
 -------- 03:00 0.00 0.37 0.05 1.32 0.01
 -------- 04:00 0.00 0.37 0.05 1.34 0.01
 09.11.12 05:00 0.00 0.32 0.07 1.35 0.01
 -------- 06:00 0.00 0.12 0.13 1.42 0.06
 -------- 07:00 0.01 0.09 0.14 1.51 0.08
 -------- 08:00 0.01 0.04 0.15 1.55 0.15
 -------- 09:00 0.01 0.01 0.16 1.49 0.08
 09.11.12 10:00 0.01 0.01 0.17 1.60 0.15
 -------- 11:00 0.01 0.01 0.17 1.49 0.10
 -------- 12:00 0.01 0.04 0.14 1.48 0.05
 -------- 13:00 0.00 0.07 0.11 1.47 0.04
 -------- 14:00 0.01 0.07 0.13 1.52 0.08
 09.11.12 15:00 0.01 0.06 0.15 1.46 0.12
 -------- 16:00 0.01 0.08 0.16 1.48 0.11
 -------- 17:00 0.01 0.06 0.15 1.49 0.10
 -------- 18:00 0.01 0.10 0.14 1.42 0.08
 -------- 19:00 0.01 0.06 0.14 1.47 0.10
 09.11.12 20:00 0.01 0.07 0.15 1.50 0.09
 -------- 21:00 0.01 0.10 0.13 1.44 0.08
 -------- 22:00 0.01 0.16 0.14 1.39 0.06
 -------- 23:00 0.01 0.21 0.13 1.48 0.05
 -------- 00:00 0.01 0.28 0.13 1.42 0.05
 10.11.12 01:00 0.01 0.29 0.13 1.38 0.04
 -------- 02:00 0.00 0.30 0.11 1.36 0.03
 -------- 03:00 0.00 0.30 0.09 1.41 0.02
 -------- 04:00 0.00 0.24 0.10 1.44 0.03
 -------- 05:00 0.00 0.24 0.09 1.41 0.03
 10.11.12 06:00 0.00 0.24 0.10 1.42 0.03
 -------- 07:00 0.00 0.25 0.10 1.35 0.03
 -------- 08:00 0.01 0.21 0.12 1.38 0.05
 -------- 09:00 0.01 0.21 0.13 1.47 0.06
 -------- 10:00 0.01 0.17 0.13 1.50 0.07
 10.11.12 11:00 0.01 0.15 0.14 1.51 0.08
 -------- 12:00 0.01 0.15 0.16 1.47 0.09
 -------- 13:00 0.01 0.12 0.19 1.47 0.12
 -------- 14:00 0.01 0.18 0.18 1.46 0.09
 -------- 15:00 0.01 0.19 0.18 1.45 0.10
 10.11.12 16:00 0.01 0.18 0.19 1.47 0.11
 -------- 17:00 0.01 0.14 0.20 1.50 0.11
 -------- 18:00 0.01 0.06 0.23 1.63 0.22
 -------- 19:00 0.01 0.01 0.22 1.70 0.31
 -------- 20:00 0.01 0.01 0.19 1.91 0.32
 10.11.12 21:00 0.02 0.02 0.19 1.94 0.38
 -------- 22:00 0.01 0.01 0.17 1.76 0.31
 -------- 23:00 0.01 0.01 0.15 1.82 0.31
