 Date Time SO2 OZ NO2 CHX NO
 08.10.12 12:00 0.01 0.01 0.25 1.73 0.29
 -------- 13:00 0.01 0.10 0.24 1.54 0.16
 -------- 14:00 0.01 0.17 0.18 1.48 0.08
 -------- 15:00 0.00 0.29 0.13 1.45 0.04
 -------- 16:00 0.00 0.30 0.12 1.44 0.04
 08.10.12 17:00 0.00 0.27 0.11 1.45 0.04
 -------- 18:00 0.00 0.26 0.12 1.52 0.03
 -------- 19:00 0.00 0.26 0.10 1.46 0.03
 -------- 20:00 0.00 0.24 0.10 1.48 0.03
 -------- 21:00 0.00 0.26 0.10 1.55 0.03
 08.10.12 22:00 0.00 0.24 0.10 1.47 0.03
 -------- 23:00 0.00 0.17 0.13 1.47 0.07
 -------- 00:00 0.01 0.12 0.13 1.53 0.07
 -------- 01:00 0.01 0.15 0.12 1.90 0.05
 -------- 02:00 0.01 0.20 0.09 1.68 0.04
 09.10.12 03:00 0.00 0.24 0.07 1.45 0.03
 -------- 04:00 0.00 0.25 0.07 1.44 0.03
 -------- 05:00 0.00 0.27 0.09 1.44 0.04
 -------- 06:00 0.01 0.19 0.13 1.47 0.06
 -------- 07:00 0.01 0.13 0.15 1.52 0.09
 09.10.12 08:00 0.01 0.09 0.17 1.87 0.13
 -------- 09:00 0.01 0.12 0.17 1.54 0.13
 -------- 10:00 0.01 0.09 0.19 1.52 0.16
 -------- 11:00 0.01 0.14 0.17 1.49 0.12
 -------- 12:00 0.01 0.20 0.17 1.48 0.11
 09.10.12 13:00 0.01 0.17 0.17 1.50 0.12
 -------- 14:00 0.01 0.17 0.17 1.50 0.11
 -------- 15:00 0.01 0.16 0.16 1.50 0.12
 -------- 16:00 0.01 0.15 0.19 1.51 0.12
 -------- 17:00 0.01 0.17 0.17 1.59 0.09
 09.10.12 18:00 0.01 0.24 0.12 1.48 0.04
 -------- 19:00 0.01 0.18 0.15 1.48 0.07
 -------- 20:00 0.01 0.26 0.12 1.51 0.07
 -------- 21:00 0.01 0.29 0.11 1.46 0.06
 -------- 22:00 0.01 0.22 0.13 1.50 0.08
 09.10.12 23:00 0.00 0.33 0.08 1.43 0.03
 -------- 00:00 0.00 0.32 0.10 1.44 0.04
 -------- 01:00 0.01 0.27 0.10 1.48 0.05
 -------- 02:00 0.01 0.25 0.09 1.54 0.04
 -------- 03:00 0.01 0.23 0.07 1.51 0.04
 10.10.12 04:00 0.00 0.17 0.09 1.61 0.04
 -------- 05:00 0.00 0.12 0.10 1.49 0.04
 -------- 06:00 0.01 0.07 0.10 1.48 0.07
 -------- 07:00 0.01 0.10 0.10 1.51 0.06
 -------- 08:00 0.01 0.03 0.14 1.75 0.24
 10.10.12 09:00 0.01 0.09 0.11 1.56 0.08
 -------- 10:00 0.01 0.09 0.13 1.57 0.09
 -------- 11:00 0.01 0.06 0.13 1.55 0.09
