 Date Time SO2 OZ NO2 CHX NO
 17.11.12 12:00 0.01 0.17 0.14 1.47 0.07
 -------- 13:00 0.01 0.15 0.16 1.48 0.08
 -------- 14:00 0.01 0.15 0.16 1.50 0.09
 -------- 15:00 0.01 0.15 0.15 1.48 0.09
 -------- 16:00 0.01 0.11 0.17 1.49 0.11
 17.11.12 17:00 0.01 0.11 0.14 1.51 0.11
 -------- 18:00 0.01 0.09 0.17 1.51 0.09
 -------- 19:00 0.01 0.06 0.16 1.59 0.14
 -------- 20:00 0.01 0.05 0.15 1.54 0.11
 -------- 21:00 0.01 0.09 0.14 1.50 0.07
 17.11.12 22:00 0.01 0.10 0.13 1.49 0.07
 -------- 23:00 0.01 0.12 0.13 1.44 0.05
 -------- 00:00 0.00 0.12 0.12 1.48 0.06
 -------- 01:00 0.01 0.12 0.11 1.49 0.06
 -------- 02:00 0.00 0.21 0.07 1.41 0.02
 18.11.12 03:00 0.00 0.19 0.09 1.43 0.03
 -------- 04:00 0.00 0.23 0.06 1.39 0.01
 -------- 05:00 0.00 0.20 0.08 1.40 0.02
 -------- 06:00 0.00 0.22 0.06 1.41 0.02
 -------- 07:00 0.00 0.20 0.07 1.45 0.02
 18.11.12 08:00 0.00 0.23 0.07 1.48 0.01
 -------- 09:00 0.00 0.25 0.08 1.42 0.02
 -------- 10:00 0.00 0.21 0.11 1.39 0.03
 -------- 11:00 0.00 0.23 0.12 1.43 0.04
 -------- 12:00 0.00 0.26 0.11 1.43 0.03
 18.11.12 13:00 0.00 0.27 0.10 1.48 0.02
 -------- 14:00 0.00 0.30 0.10 1.45 0.03
 -------- 15:00 0.00 0.25 0.12 1.46 0.04
 -------- 16:00 0.00 0.26 0.10 1.51 0.03
 -------- 17:00 0.01 0.19 0.12 1.41 0.04
 18.11.12 18:00 0.00 0.23 0.11 ---- 0.03
 -------- 19:00 0.00 0.22 0.10 ---- 0.02
 -------- 20:00 0.00 0.25 0.09 ---- 0.02
 -------- 21:00 0.00 0.25 0.09 ---- 0.02
 -------- 22:00 0.00 0.28 0.08 ---- 0.02
 18.11.12 23:00 0.00 0.30 0.07 ---- 0.02
 -------- 00:00 0.00 0.33 0.05 ---- 0.01
 -------- 01:00 0.00 0.33 0.04 ---- 0.01
 -------- 02:00 0.00 0.31 0.04 ---- 0.01
 -------- 03:00 0.00 0.32 0.04 ---- 0.01
 19.11.12 04:00 0.00 0.31 0.04 ---- 0.01
 -------- 05:00 0.00 0.30 0.04 ---- 0.01
 -------- 06:00 0.00 0.28 0.05 ---- 0.01
 -------- 07:00 0.00 0.23 0.08 ---- 0.03
 -------- 08:00 0.01 0.21 0.10 ---- 0.05
 19.11.12 09:00 0.01 0.22 0.09 ---- 0.04
 -------- 10:00 0.00 0.24 0.09 ---- 0.03
 -------- 11:00 0.00 0.23 0.08 ---- 0.03
