 Date Time SO2 OZ NO2 CHX NO
 05.01.13 00:00 0.00 0.03 0.18 1.64 0.07
 -------- 01:00 0.00 0.01 0.17 1.62 0.07
 -------- 02:00 0.00 0.03 0.19 1.58 0.06
 -------- 03:00 0.00 0.05 0.18 1.56 0.06
 -------- 04:00 0.00 0.08 0.15 1.52 0.03
 05.01.13 05:00 0.00 0.09 0.16 1.57 0.04
 -------- 06:00 0.00 0.05 0.17 1.51 0.03
 -------- 07:00 0.00 0.08 0.17 1.65 0.03
 -------- 08:00 0.00 0.09 0.17 1.63 0.06
 -------- 09:00 0.00 0.11 0.16 1.52 0.03
 05.01.13 10:00 0.00 0.12 0.17 1.51 0.05
 -------- 11:00 0.00 0.10 0.18 1.45 0.05
 -------- 12:00 0.00 0.15 0.16 1.45 0.04
 -------- 13:00 0.00 0.16 0.16 1.44 0.05
 -------- 14:00 0.00 0.16 0.18 1.46 0.09
 05.01.13 15:00 0.00 0.08 0.22 1.52 0.11
 -------- 16:00 0.00 0.16 0.16 1.47 0.05
 -------- 17:00 0.00 0.20 0.14 1.50 0.04
 -------- 18:00 0.00 0.13 0.20 1.51 0.10
 -------- 19:00 0.00 0.08 0.23 1.55 0.10
 05.01.13 20:00 0.00 0.06 0.23 1.57 0.12
 -------- 21:00 0.01 0.04 0.24 1.59 0.14
 -------- 22:00 0.01 0.04 0.24 1.57 0.14
 -------- 23:00 0.01 0.04 0.24 1.74 0.11
 -------- 00:00 0.01 0.05 0.23 1.76 0.11
 06.01.13 01:00 0.00 0.06 0.21 1.73 0.08
 -------- 02:00 0.00 0.07 0.21 1.70 0.07
 -------- 03:00 0.00 0.10 0.18 1.79 0.04
 -------- 04:00 0.00 0.11 0.18 1.95 0.05
 -------- 05:00 0.00 0.09 0.20 1.99 0.05
 06.01.13 06:00 0.00 0.17 0.13 1.64 0.02
 -------- 07:00 0.00 0.20 0.12 1.46 0.02
 -------- 08:00 0.00 0.21 0.11 1.42 0.01
 -------- 09:00 0.00 0.22 0.11 1.40 0.01
 -------- 10:00 0.00 0.25 0.10 1.39 0.02
 06.01.13 11:00 0.00 0.29 0.12 1.37 0.01
 -------- 12:00 0.00 0.25 0.12 1.41 0.02
 -------- 13:00 0.00 0.24 0.14 1.42 0.03
 -------- 14:00 0.00 0.27 0.13 1.40 0.03
 -------- 15:00 0.00 0.27 0.11 1.38 0.02
 06.01.13 16:00 0.00 0.27 0.12 1.37 0.02
 -------- 17:00 0.00 0.28 0.12 1.38 0.02
 -------- 18:00 0.00 0.25 0.11 1.37 0.01
 -------- 19:00 0.00 0.24 0.11 1.37 0.02
 -------- 20:00 0.00 0.23 0.09 1.39 0.01
 06.01.13 21:00 0.00 0.25 0.09 1.40 0.01
 -------- 22:00 0.00 0.22 0.09 1.40 0.01
 -------- 23:00 0.00 0.23 0.07 1.38 0.01
 -------- 00:00 0.00 0.24 0.09 1.37 0.01
