 Date Time SO2 OZ NO2 CHX NO
 07.12.12 00:00 0.00 ---- 0.20 1.48 0.09
 -------- 01:00 0.00 0.02 0.19 1.44 0.04
 -------- 02:00 ---- 0.06 0.16 1.38 0.02
 -------- 03:00 ---- 0.08 0.15 1.40 0.02
 -------- 04:00 ---- 0.06 0.15 1.41 0.02
 07.12.12 05:00 ---- 0.06 0.16 1.40 0.03
 -------- 06:00 ---- 0.03 0.20 1.41 0.06
 -------- 07:00 0.00 0.05 0.18 1.41 0.08
 -------- 08:00 0.00 0.02 0.23 1.53 0.15
 -------- 09:00 0.00 0.01 0.24 1.55 0.14
 07.12.12 10:00 0.00 0.01 0.23 1.49 0.13
 -------- 11:00 0.00 0.01 0.22 1.49 0.16
 -------- 12:00 0.00 0.03 0.23 1.51 0.16
 -------- 13:00 0.00 0.01 0.23 1.48 0.19
 -------- 14:00 0.00 0.04 0.21 1.48 0.13
 07.12.12 15:00 0.00 0.03 0.22 1.48 0.18
 -------- 16:00 0.01 0.01 0.25 1.57 0.26
 -------- 17:00 0.01 ---- 0.26 1.67 0.28
 -------- 18:00 0.01 0.01 0.25 1.73 0.26
 -------- 19:00 0.01 0.01 0.26 1.71 0.26
 07.12.12 20:00 0.01 0.01 0.25 1.72 0.23
 -------- 21:00 0.01 0.01 0.22 1.68 0.22
 -------- 22:00 0.00 0.01 0.22 1.58 0.12
 -------- 23:00 0.00 ---- 0.20 1.60 0.13
 -------- 00:00 0.00 0.01 0.21 1.64 0.15
 08.12.12 01:00 0.00 ---- 0.17 1.60 0.07
 -------- 02:00 ---- ---- 0.17 1.49 0.05
 -------- 03:00 ---- 0.01 0.15 1.46 0.05
 -------- 04:00 ---- ---- 0.17 1.47 0.04
 -------- 05:00 ---- ---- 0.17 1.56 0.05
 08.12.12 06:00 0.00 ---- 0.18 1.53 0.08
 -------- 07:00 ---- ---- 0.16 1.58 0.08
 -------- 08:00 0.00 ---- 0.17 1.57 0.12
 -------- 09:00 0.00 ---- 0.21 1.61 0.16
 -------- 10:00 0.00 ---- 0.19 1.65 0.15
 08.12.12 11:00 0.00 0.01 0.22 1.64 0.19
 -------- 12:00 0.00 0.01 0.21 1.71 0.23
 -------- 13:00 0.01 0.01 0.21 1.74 0.27
 -------- 14:00 0.01 0.01 0.22 1.83 0.34
 -------- 15:00 0.01 0.01 0.25 1.88 0.43
 08.12.12 16:00 0.01 0.01 0.25 1.84 0.37
 -------- 17:00 0.00 ---- 0.21 1.67 0.18
 -------- 18:00 0.00 ---- 0.19 1.65 0.18
 -------- 19:00 0.00 ---- 0.19 1.62 0.13
 -------- 20:00 0.00 ---- 0.17 1.68 0.19
 08.12.12 21:00 0.00 ---- 0.18 1.77 0.21
 -------- 22:00 0.00 ---- 0.17 1.77 0.23
 -------- 23:00 0.01 ---- 0.19 1.87 0.28
