 Date Time CO SO2 OZ NO2 CHX NO
 26.03.13 00:00 0.06 ---- 0.21 ---- 1.60 ----
 -------- 01:00 0.05 ---- 0.21 ---- 1.61 ----
 -------- 02:00 0.04 ---- 0.21 ---- 1.59 ----
 -------- 03:00 0.04 ---- 0.22 ---- 1.57 ----
 -------- 04:00 0.03 ---- 0.23 ---- 1.44 ----
 26.03.13 05:00 0.04 ---- 0.22 ---- 1.43 ----
 -------- 06:00 0.04 ---- 0.20 ---- 1.45 ----
 -------- 07:00 0.07 ---- 0.16 ---- 1.48 ----
 -------- 08:00 0.12 ---- 0.12 ---- 1.52 ----
 -------- 09:00 0.13 ---- 0.14 ---- 1.51 ----
 26.03.13 10:00 0.11 ---- 0.17 ---- 1.47 ----
 -------- 11:00 0.10 ---- 0.18 ---- 1.47 ----
 -------- 12:00 0.09 ---- 0.18 ---- 1.49 ----
 -------- 13:00 0.08 ---- 0.19 ---- 1.47 ----
 -------- 14:00 0.11 ---- 0.17 0.16 1.65 0.04
 26.03.13 15:00 0.08 ---- 0.30 0.16 1.65 0.07
 -------- 16:00 0.09 ---- 0.32 0.13 1.61 0.05
 -------- 17:00 0.10 ---- 0.31 0.14 1.58 0.05
 -------- 18:00 0.11 ---- 0.30 0.15 1.57 0.05
 -------- 19:00 0.13 ---- 0.25 0.21 1.54 0.07
 26.03.13 20:00 0.17 ---- 0.19 0.27 1.57 0.10
 -------- 21:00 0.19 ---- 0.12 0.32 1.62 0.11
 -------- 22:00 0.19 ---- 0.08 0.38 1.68 0.17
 -------- 23:00 0.14 ---- 0.13 0.29 1.62 0.09
 -------- 00:00 0.18 ---- 0.07 0.38 1.67 0.14
 27.03.13 01:00 0.15 ---- 0.07 0.35 1.68 0.10
 -------- 02:00 0.08 ---- 0.12 0.27 1.64 0.07
 -------- 03:00 0.06 ---- 0.15 0.26 1.63 0.04
 -------- 04:00 0.06 ---- 0.16 0.28 1.65 0.06
 -------- 05:00 0.08 ---- 0.14 0.31 1.61 0.07
 27.03.13 06:00 0.13 ---- 0.07 0.37 1.63 0.15
 -------- 07:00 0.15 ---- 0.15 0.30 1.59 0.16
 -------- 08:00 0.34 ---- 0.06 0.43 1.82 0.33
 -------- 09:00 0.12 ---- 0.17 0.25 1.57 0.11
 -------- 10:00 0.06 ---- 0.24 0.19 1.61 0.07
 27.03.13 11:00 0.05 ---- 0.28 0.16 1.47 0.07
 -------- 12:00 0.07 ---- 0.28 0.17 1.46 0.08
 -------- 13:00 0.07 ---- 0.28 0.18 1.47 0.08
 -------- 14:00 0.06 ---- 0.29 0.16 1.48 0.08
 -------- 15:00 0.06 ---- 0.33 0.13 1.47 0.06
 27.03.13 16:00 0.07 ---- 0.34 0.15 1.48 0.06
 -------- 17:00 0.07 ---- 0.33 0.17 1.50 0.06
 -------- 18:00 0.07 ---- 0.30 0.19 1.50 0.07
 -------- 19:00 0.09 ---- 0.28 0.23 1.49 0.08
 -------- 20:00 0.13 ---- 0.20 0.32 1.56 0.11
 27.03.13 21:00 0.23 ---- 0.13 0.38 1.68 0.19
 -------- 22:00 0.20 ---- 0.11 0.38 1.78 0.15
 -------- 23:00 0.19 ---- 0.16 0.31 1.68 0.09
