 Date Time SO2 OZ NO2 CHX NO
 19.12.12 12:00 0.01 0.01 0.25 1.62 0.26
 -------- 13:00 0.01 0.02 0.25 1.69 0.30
 -------- 14:00 0.01 0.01 0.26 1.64 0.31
 -------- 15:00 0.02 0.02 0.30 1.67 0.33
 -------- 16:00 0.02 0.01 0.33 1.74 0.45
 19.12.12 17:00 0.02 0.01 0.35 1.92 0.53
 -------- 18:00 0.01 0.01 0.31 1.77 0.41
 -------- 19:00 0.01 0.01 0.30 1.77 0.31
 -------- 20:00 0.01 0.01 0.31 1.65 0.29
 -------- 21:00 0.01 0.01 0.32 1.70 0.34
 19.12.12 22:00 0.02 0.01 0.32 1.68 0.26
 -------- 23:00 0.02 ---- 0.30 1.57 0.18
 -------- 00:00 0.01 ---- 0.29 1.56 0.14
 -------- 01:00 0.01 ---- 0.28 1.55 0.12
 -------- 02:00 0.01 ---- 0.27 1.54 0.08
 20.12.12 03:00 0.01 0.01 0.28 1.62 0.15
 -------- 04:00 0.01 0.01 0.30 1.75 0.22
 -------- 05:00 0.01 0.01 0.32 1.84 0.28
 -------- 06:00 0.01 0.01 0.32 1.98 0.33
 -------- 07:00 0.01 0.01 0.31 2.06 0.41
 20.12.12 08:00 0.01 0.01 0.34 2.24 0.53
 -------- 09:00 0.01 0.01 0.34 2.20 0.47
 -------- 10:00 0.01 0.01 0.35 2.23 0.44
 -------- 11:00 0.01 0.01 0.36 2.19 0.43
 -------- 12:00 0.01 0.01 0.36 2.19 0.45
 20.12.12 13:00 0.02 0.01 0.40 2.16 0.49
 -------- 14:00 0.02 0.01 0.40 2.14 0.52
 -------- 15:00 0.02 0.01 0.41 2.07 0.47
 -------- 16:00 0.01 0.01 0.38 1.96 0.36
 -------- 17:00 0.01 0.01 0.36 1.99 0.36
 20.12.12 18:00 0.01 0.01 0.36 1.91 0.32
 -------- 19:00 0.01 0.01 0.34 1.85 0.30
 -------- 20:00 0.01 0.01 0.30 1.76 0.21
 -------- 21:00 0.01 0.01 0.28 1.78 0.22
 -------- 22:00 0.01 0.01 0.30 1.78 0.23
 20.12.12 23:00 0.01 0.01 0.29 1.80 0.24
 -------- 00:00 0.01 0.01 0.30 1.75 0.20
 -------- 01:00 0.01 0.01 0.28 1.91 0.22
 -------- 02:00 0.01 ---- 0.27 1.74 0.16
 -------- 03:00 0.01 ---- 0.26 1.72 0.13
 21.12.12 04:00 0.00 ---- 0.25 1.78 0.10
 -------- 05:00 0.00 ---- 0.25 1.71 0.12
 -------- 06:00 0.01 ---- 0.25 1.72 0.14
 -------- 07:00 0.01 0.01 0.26 1.74 0.17
 -------- 08:00 0.01 0.01 0.29 1.83 0.30
 21.12.12 09:00 0.01 0.01 0.27 1.83 0.27
 -------- 10:00 0.01 0.01 0.29 1.92 0.31
 -------- 11:00 0.01 0.01 0.29 1.95 0.35
