 Date Time SO2 OZ NO2 CHX NO
 22.10.12 12:00 0.00 0.18 0.06 1.44 0.02
 -------- 13:00 0.00 0.16 0.06 1.43 0.02
 -------- 14:00 0.00 0.19 0.08 1.45 0.04
 -------- 15:00 0.00 0.27 0.09 1.42 0.03
 -------- 16:00 0.00 0.37 0.08 1.41 0.02
 22.10.12 17:00 0.00 0.40 0.09 1.40 0.02
 -------- 18:00 0.00 0.35 0.09 1.42 0.02
 -------- 19:00 0.00 0.29 0.11 1.46 0.03
 -------- 20:00 0.00 0.18 0.13 1.43 0.04
 -------- 21:00 0.00 0.13 0.15 1.42 0.05
 22.10.12 22:00 0.00 0.14 0.13 1.41 0.04
 -------- 23:00 0.00 0.17 0.12 1.42 0.04
 -------- 00:00 0.00 0.26 0.08 1.39 0.02
 -------- 01:00 0.00 0.31 0.07 1.38 0.02
 -------- 02:00 0.00 0.30 0.07 1.39 0.02
 23.10.12 03:00 0.00 0.32 0.06 1.38 0.02
 -------- 04:00 0.00 0.33 0.06 1.39 0.02
 -------- 05:00 0.00 0.28 0.08 1.39 0.03
 -------- 06:00 0.00 0.22 0.13 1.41 0.06
 -------- 07:00 0.01 0.16 0.16 1.46 0.12
 23.10.12 08:00 0.01 0.10 0.20 1.53 0.15
 -------- 09:00 0.01 0.09 0.20 1.50 0.15
 -------- 10:00 0.01 0.05 0.23 1.58 0.17
 -------- 11:00 0.01 0.03 0.23 1.54 0.21
 -------- 12:00 0.01 0.03 0.24 1.60 0.22
 23.10.12 13:00 0.01 0.01 0.23 1.66 0.23
 -------- 14:00 0.01 0.01 0.24 1.68 0.26
 -------- 15:00 0.01 0.01 0.24 1.57 0.17
 -------- 16:00 0.01 0.01 0.24 1.54 0.14
 -------- 17:00 0.01 0.01 0.22 1.50 0.12
 23.10.12 18:00 0.01 0.01 0.24 1.53 0.15
 -------- 19:00 0.01 0.01 0.23 1.53 0.15
 -------- 20:00 0.01 0.03 0.19 1.51 0.10
 -------- 21:00 0.01 0.13 0.15 1.44 0.06
 -------- 22:00 0.01 0.10 0.16 1.45 0.08
 23.10.12 23:00 0.01 0.10 0.16 1.45 0.10
 -------- 00:00 0.01 0.12 0.15 1.44 0.08
 -------- 01:00 0.01 0.16 0.14 1.44 0.05
 -------- 02:00 0.01 0.11 0.13 1.45 0.04
 -------- 03:00 0.00 0.16 0.11 1.43 0.04
 24.10.12 04:00 0.00 0.08 0.14 1.43 0.03
 -------- 05:00 0.00 0.08 0.15 1.45 0.04
 -------- 06:00 0.01 0.04 0.18 1.54 0.10
 -------- 07:00 0.01 0.01 0.19 1.55 0.16
 -------- 08:00 0.01 0.02 0.19 1.59 0.20
 24.10.12 09:00 0.01 0.08 0.17 1.57 0.15
 -------- 10:00 0.01 0.09 0.16 1.56 0.13
 -------- 11:00 0.01 0.12 0.15 1.61 0.12
