 Date Time SO2 OZ NO2 CHX NO
 01.01.13 12:00 0.00 0.18 0.14 1.44 0.04
 -------- 13:00 0.00 0.23 0.13 1.42 0.02
 -------- 14:00 0.00 0.24 0.12 1.49 0.02
 -------- 15:00 0.00 0.23 0.12 1.41 0.03
 -------- 16:00 0.00 0.23 0.12 1.47 0.02
 01.01.13 17:00 0.00 0.20 0.15 1.44 0.03
 -------- 18:00 0.00 0.19 0.15 1.49 0.04
 -------- 19:00 0.00 0.18 0.15 1.47 0.04
 -------- 20:00 0.00 0.17 0.15 1.49 0.03
 -------- 21:00 0.00 0.14 0.15 1.46 0.03
 01.01.13 22:00 0.00 0.14 0.16 1.46 0.04
 -------- 23:00 0.00 0.12 0.15 1.48 0.04
 -------- 00:00 0.00 0.14 0.13 1.46 0.03
 -------- 01:00 0.00 0.18 0.10 1.42 0.02
 -------- 02:00 0.00 0.17 0.09 1.45 0.01
 02.01.13 03:00 0.00 0.17 0.10 1.44 0.01
 -------- 04:00 0.00 0.23 0.07 1.45 0.01
 -------- 05:00 0.00 0.27 0.07 1.39 0.01
 -------- 06:00 0.00 0.31 0.07 1.39 0.01
 -------- 07:00 0.00 0.32 0.08 1.39 0.01
 02.01.13 08:00 0.00 0.31 0.10 1.40 0.02
 -------- 09:00 0.00 0.32 0.09 1.40 0.01
 -------- 10:00 0.00 0.33 0.10 1.37 0.01
 -------- 11:00 0.00 0.33 0.09 1.40 0.02
 -------- 12:00 0.00 0.30 0.11 1.39 0.02
 02.01.13 13:00 0.00 0.29 0.12 1.42 0.02
 -------- 14:00 0.00 0.29 0.13 1.42 0.02
 -------- 15:00 0.00 0.29 0.13 1.44 0.03
 -------- 16:00 0.00 0.28 0.14 1.45 0.03
 -------- 17:00 0.00 0.24 0.15 1.45 0.03
 02.01.13 18:00 0.00 0.20 0.17 1.49 0.03
 -------- 19:00 0.00 0.29 0.13 1.44 0.02
 -------- 20:00 0.00 0.36 0.10 1.42 0.02
 -------- 21:00 0.00 0.40 0.10 1.39 0.01
 -------- 22:00 0.00 0.40 0.11 1.41 0.02
 02.01.13 23:00 0.00 0.32 0.13 1.48 0.04
 -------- 00:00 0.00 0.40 0.10 1.44 0.01
 -------- 01:00 0.00 0.41 0.10 1.46 0.02
 -------- 02:00 0.00 0.39 0.08 1.48 0.01
 -------- 03:00 0.00 0.41 0.07 1.43 0.01
 03.01.13 04:00 0.00 0.42 0.07 1.41 0.01
 -------- 05:00 0.00 0.43 0.08 1.40 0.01
 -------- 06:00 0.00 0.42 0.08 1.38 0.01
 -------- 07:00 0.00 0.40 0.10 1.41 0.01
 -------- 08:00 0.00 0.37 0.10 1.40 0.01
 03.01.13 09:00 0.00 0.35 0.11 1.39 0.01
 -------- 10:00 0.00 0.31 0.13 1.46 0.02
 -------- 11:00 0.00 0.29 0.13 1.45 0.02
