 Date Time SO2 OZ NO2 CHX NO
 08.01.13 12:00 0.00 0.05 0.21 1.56 0.14
 -------- 13:00 0.01 0.04 0.22 1.58 0.17
 -------- 14:00 0.01 0.05 0.21 1.58 0.13
 -------- 15:00 0.01 0.03 0.21 1.58 0.15
 -------- 16:00 0.01 0.03 0.20 1.59 0.16
 08.01.13 17:00 0.01 0.03 0.23 1.60 0.15
 -------- 18:00 0.01 0.02 0.23 1.57 0.13
 -------- 19:00 0.01 0.01 0.24 1.60 0.16
 -------- 20:00 0.01 0.02 0.23 1.59 0.12
 -------- 21:00 0.01 0.01 0.23 1.62 0.15
 08.01.13 22:00 0.01 0.01 0.22 1.63 0.12
 -------- 23:00 0.01 0.02 0.21 1.59 0.08
 -------- 00:00 0.00 0.06 0.18 1.55 0.06
 -------- 01:00 0.00 0.08 0.18 1.54 0.05
 -------- 02:00 0.00 0.06 0.17 1.52 0.04
 09.01.13 03:00 0.00 0.11 0.16 1.52 0.03
 -------- 04:00 0.00 0.10 0.17 1.53 0.02
 -------- 05:00 0.00 0.10 0.19 1.52 0.05
 -------- 06:00 0.00 0.09 0.19 1.53 0.06
 -------- 07:00 0.00 0.03 0.18 1.97 0.09
 09.01.13 08:00 0.00 0.02 0.19 2.20 0.14
 -------- 09:00 0.00 0.01 0.17 1.92 0.12
 -------- 10:00 0.00 0.03 0.19 1.65 0.14
 -------- 11:00 0.01 0.02 0.21 1.67 0.21
 -------- 12:00 0.01 0.05 0.20 1.61 0.16
 09.01.13 13:00 0.01 0.03 0.22 1.62 0.17
 -------- 14:00 0.01 0.08 0.24 1.65 0.15
 -------- 15:00 0.01 0.11 0.23 1.58 0.15
 -------- 16:00 0.01 0.09 0.25 1.57 0.20
 -------- 17:00 0.01 0.06 0.23 1.55 0.14
 09.01.13 18:00 0.00 0.08 0.21 1.54 0.08
 -------- 19:00 0.00 0.11 0.18 1.51 0.05
 -------- 20:00 0.00 0.13 0.18 1.58 0.07
 -------- 21:00 0.00 0.10 0.19 1.55 0.09
 -------- 22:00 0.00 0.11 0.20 1.57 0.10
 09.01.13 23:00 0.00 0.25 0.10 1.48 0.02
 -------- 00:00 0.00 0.30 0.08 1.46 0.01
 -------- 01:00 0.00 0.28 0.08 1.45 0.01
 -------- 02:00 0.00 0.31 0.05 1.43 0.00
 -------- 03:00 0.00 0.33 0.04 1.42 0.00
 10.01.13 04:00 0.00 0.34 0.04 1.42 0.00
 -------- 05:00 0.00 0.33 0.04 1.43 0.01
 -------- 06:00 0.00 0.30 0.07 1.44 0.01
 -------- 07:00 0.00 0.27 0.10 1.46 0.02
 -------- 08:00 0.00 0.22 0.14 1.52 0.04
 10.01.13 09:00 0.00 0.22 0.13 1.50 0.02
 -------- 10:00 0.00 0.23 0.13 1.50 0.02
 -------- 11:00 0.00 0.22 0.13 1.50 0.02
 -------- 12:00 0.00 0.23 0.11 1.47 0.02
