 Date Time SO2 OZ NO2 CHX NO
 05.02.13 12:00 0.00 0.31 0.24 1.41 0.05
 -------- 13:00 0.00 0.26 0.25 1.41 0.06
 -------- 14:00 0.00 0.27 0.24 1.45 0.06
 -------- 15:00 0.00 0.24 0.26 1.44 0.07
 -------- 16:00 0.00 0.21 0.28 1.48 0.08
 05.02.13 17:00 0.00 0.17 0.30 1.51 0.09
 -------- 18:00 0.01 0.08 0.36 1.57 0.19
 -------- 19:00 0.00 0.09 0.36 1.53 0.13
 -------- 20:00 0.00 0.10 0.33 1.47 0.09
 -------- 21:00 0.00 0.19 0.27 1.44 0.04
 05.02.13 22:00 0.00 0.24 0.25 1.46 0.03
 -------- 23:00 0.00 0.28 0.20 1.43 0.02
 -------- 00:00 0.00 0.32 0.19 1.44 0.02
 -------- 01:00 0.00 0.34 0.17 1.41 0.02
 -------- 02:00 0.00 0.36 0.17 1.42 0.02
 06.02.13 03:00 0.00 0.38 0.15 1.39 0.01
 -------- 04:00 0.00 0.41 0.15 1.42 0.01
 -------- 05:00 0.00 0.39 0.17 1.42 0.02
 -------- 06:00 0.00 0.38 0.19 1.38 0.02
 -------- 07:00 0.00 0.31 0.21 1.40 0.03
 06.02.13 08:00 0.00 0.30 0.22 1.39 0.03
 -------- 09:00 0.00 0.26 0.26 1.41 0.05
 -------- 10:00 0.00 0.34 0.21 1.40 0.05
 -------- 11:00 0.00 0.32 0.24 1.39 0.04
 -------- 12:00 0.00 0.35 0.22 1.42 0.04
 06.02.13 13:00 0.00 0.32 0.23 1.44 0.04
 -------- 14:00 0.00 0.29 0.27 1.45 0.06
 -------- 15:00 0.00 0.19 0.33 1.50 0.13
 -------- 16:00 0.00 0.20 0.33 1.48 0.08
 -------- 17:00 0.00 0.22 0.32 1.49 0.08
 06.02.13 18:00 0.00 0.24 0.31 1.47 0.07
 -------- 19:00 0.00 0.26 0.26 1.45 0.04
 -------- 20:00 0.00 0.21 0.26 1.53 0.04
 -------- 21:00 0.00 0.19 0.25 1.46 0.04
 -------- 22:00 0.00 0.22 0.21 1.45 0.03
 06.02.13 23:00 0.00 0.22 0.22 1.44 0.03
 -------- 00:00 0.00 0.29 0.19 1.44 0.02
 -------- 01:00 0.00 0.28 0.20 1.42 0.02
 -------- 02:00 0.00 0.26 0.20 1.42 0.02
 -------- 03:00 0.00 0.26 0.21 1.42 0.02
 07.02.13 04:00 0.00 0.36 0.19 1.40 0.02
 -------- 05:00 0.00 0.31 0.23 1.42 0.04
 -------- 06:00 0.00 0.30 0.21 1.44 0.03
 -------- 07:00 0.00 0.26 0.25 1.48 0.07
 -------- 08:00 0.00 0.26 0.23 1.50 0.05
 07.02.13 09:00 0.00 0.22 0.24 1.49 0.06
 -------- 10:00 0.00 0.18 0.21 1.50 0.05
 -------- 11:00 0.00 0.19 0.24 1.51 0.06
 -------- 12:00 0.00 0.19 0.22 1.47 0.05
