 Date Time SO2 OZ NO2 CHX NO
 16.10.12 00:00 0.01 0.15 0.15 1.47 0.04
 -------- 01:00 0.01 0.21 0.11 1.46 0.04
 -------- 02:00 0.01 0.27 0.09 1.44 0.03
 -------- 03:00 0.00 0.30 0.07 1.44 0.03
 -------- 04:00 0.00 0.26 0.07 1.45 0.03
 16.10.12 05:00 0.00 0.21 0.09 1.46 0.04
 -------- 06:00 0.01 0.14 0.11 1.51 0.06
 -------- 07:00 0.01 0.12 0.12 1.52 0.09
 -------- 08:00 0.01 0.07 0.14 1.58 0.11
 -------- 09:00 0.01 0.07 0.14 1.55 0.10
 16.10.12 10:00 0.01 0.05 0.15 1.59 0.10
 -------- 11:00 0.01 0.05 0.15 1.58 0.10
 -------- 12:00 0.01 0.05 0.14 1.53 0.08
 -------- 13:00 0.01 0.05 0.16 1.56 0.11
 -------- 14:00 0.01 0.04 0.17 1.56 0.12
 16.10.12 15:00 0.01 0.06 0.16 1.54 0.09
 -------- 16:00 0.01 0.06 0.15 1.57 0.09
 -------- 17:00 0.01 0.04 0.17 1.59 0.13
 -------- 18:00 0.01 0.05 0.17 1.58 0.10
 -------- 19:00 0.01 0.04 0.18 1.57 0.10
 16.10.12 20:00 0.01 0.01 0.17 1.69 0.13
 -------- 21:00 0.01 0.01 0.18 1.64 0.14
 -------- 22:00 0.01 ---- 0.16 1.63 0.12
 -------- 23:00 0.01 ---- 0.16 1.60 0.10
 -------- 00:00 0.01 ---- 0.15 1.62 0.13
 17.10.12 01:00 0.01 ---- 0.16 1.60 0.15
 -------- 02:00 0.01 ---- 0.15 1.62 0.12
 -------- 03:00 0.01 ---- 0.15 1.57 0.09
 -------- 04:00 0.01 ---- 0.14 1.56 0.09
 -------- 05:00 0.01 ---- 0.13 1.57 0.09
 17.10.12 06:00 0.01 ---- 0.14 1.59 0.13
 -------- 07:00 0.01 ---- 0.14 1.64 0.19
 -------- 08:00 0.01 ---- 0.15 1.78 0.28
 -------- 09:00 0.01 ---- 0.16 1.85 0.33
 -------- 10:00 0.01 ---- 0.16 1.83 0.33
 17.10.12 11:00 0.01 ---- 0.16 1.85 0.30
 -------- 12:00 0.01 ---- 0.15 1.72 0.21
 -------- 13:00 0.01 ---- 0.16 1.74 0.24
 -------- 14:00 0.01 ---- 0.16 1.71 0.23
 -------- 15:00 0.01 0.02 0.18 1.66 0.17
 17.10.12 16:00 0.01 0.06 0.18 1.57 0.12
 -------- 17:00 0.01 0.03 0.21 1.64 0.18
 -------- 18:00 0.01 0.01 0.23 1.70 0.21
 -------- 19:00 0.01 ---- 0.23 1.80 0.23
 -------- 20:00 0.01 ---- 0.21 1.79 0.23
 17.10.12 21:00 0.01 ---- 0.19 1.71 0.19
 -------- 22:00 0.01 0.03 0.17 1.59 0.11
 -------- 23:00 0.01 0.03 0.16 1.61 0.11
