 Date Time SO2 OZ NO2 CHX NO
 11.02.13 11:00 0.01 0.02 0.28 1.65 0.20
 -------- 12:00 0.00 0.07 0.22 1.56 0.08
 -------- 13:00 0.00 0.11 0.26 1.55 0.13
 -------- 14:00 0.01 0.10 0.27 1.55 0.12
 -------- 15:00 0.01 0.04 0.34 1.66 0.26
 11.02.13 16:00 0.01 0.02 0.33 1.68 0.25
 -------- 17:00 0.01 0.02 0.32 1.61 0.16
 -------- 18:00 0.00 0.01 0.31 1.63 0.17
 -------- 19:00 0.01 ---- 0.32 1.72 0.28
 -------- 20:00 0.01 ---- 0.33 1.86 0.36
 11.02.13 21:00 0.01 ---- 0.34 1.93 0.36
 -------- 22:00 0.01 ---- 0.32 1.86 0.35
 -------- 23:00 0.01 ---- 0.29 1.78 0.24
 -------- 00:00 0.01 ---- 0.29 1.71 0.20
 -------- 01:00 0.00 ---- 0.27 1.70 0.13
 12.02.13 02:00 0.00 0.01 0.27 1.60 0.06
 -------- 03:00 0.00 0.14 0.21 1.47 0.03
 -------- 04:00 0.00 0.16 0.21 1.48 0.03
 -------- 05:00 0.00 0.15 0.25 1.46 0.04
 -------- 06:00 0.00 0.10 0.26 1.51 0.08
 12.02.13 07:00 0.00 0.09 0.31 1.64 0.14
 -------- 08:00 0.01 0.04 0.29 1.60 0.22
 -------- 09:00 0.01 0.03 0.27 1.61 0.19
 -------- 10:00 0.00 0.04 0.24 1.55 0.15
 -------- 11:00 0.00 0.05 0.21 1.54 0.14
 12.02.13 12:00 0.00 0.10 0.23 1.52 0.10
 -------- 13:00 0.00 0.11 0.24 1.52 0.12
 -------- 14:00 0.00 0.15 0.23 1.47 0.12
 -------- 15:00 0.00 0.18 0.25 1.48 0.13
 -------- 16:00 0.00 0.27 0.27 1.45 0.10
 12.02.13 17:00 0.00 0.24 0.28 1.47 0.10
 -------- 18:00 0.00 0.20 0.30 1.48 0.12
 -------- 19:00 0.00 0.22 0.28 1.46 0.10
 -------- 20:00 0.00 0.19 0.30 1.47 0.11
 -------- 21:00 0.00 0.29 0.24 1.44 0.06
 12.02.13 22:00 0.00 0.24 0.27 1.45 0.09
 -------- 23:00 0.00 0.30 0.24 1.46 0.05
 -------- 00:00 0.00 0.31 0.23 1.43 0.05
 -------- 01:00 0.00 0.34 0.19 1.42 0.04
 -------- 02:00 0.00 0.33 0.18 1.42 0.02
 13.02.13 03:00 0.00 0.28 0.19 1.43 0.01
 -------- 04:00 0.00 0.26 0.19 1.43 0.02
 -------- 05:00 0.00 0.22 0.21 1.45 0.04
 -------- 06:00 0.00 0.10 0.27 1.50 0.07
 -------- 07:00 0.01 0.03 0.33 1.67 0.19
 13.02.13 08:00 0.01 0.01 0.34 1.67 0.26
 -------- 09:00 0.01 0.01 0.34 1.61 0.23
 -------- 10:00 0.01 0.01 0.32 1.63 0.18
