 Date Time SO2 OZ NO2 CHX NO
 02.01.13 12:00 0.00 0.31 0.10 1.39 0.02
 -------- 13:00 0.00 0.29 0.12 1.42 0.02
 -------- 14:00 0.00 0.29 0.13 1.42 0.02
 -------- 15:00 0.00 0.29 0.13 1.44 0.03
 -------- 16:00 0.00 0.28 0.14 1.45 0.03
 02.01.13 17:00 0.00 0.24 0.15 1.45 0.03
 -------- 18:00 0.00 0.20 0.17 1.49 0.03
 -------- 19:00 0.00 0.29 0.13 1.44 0.02
 -------- 20:00 0.00 0.36 0.10 1.42 0.02
 -------- 21:00 0.00 0.40 0.10 1.39 0.01
 02.01.13 22:00 0.00 0.40 0.11 1.41 0.02
 -------- 23:00 0.00 0.32 0.13 1.48 0.04
 -------- 00:00 0.00 0.40 0.10 1.44 0.01
 -------- 01:00 0.00 0.41 0.10 1.46 0.02
 -------- 02:00 0.00 0.39 0.08 1.48 0.01
 03.01.13 03:00 0.00 0.41 0.07 1.43 0.01
 -------- 04:00 0.00 0.42 0.07 1.41 0.01
 -------- 05:00 0.00 0.43 0.08 1.40 0.01
 -------- 06:00 0.00 0.42 0.08 1.38 0.01
 -------- 07:00 0.00 0.40 0.10 1.41 0.01
 03.01.13 08:00 0.00 0.37 0.10 1.40 0.01
 -------- 09:00 0.00 0.35 0.11 1.39 0.01
 -------- 10:00 0.00 0.31 0.13 1.46 0.02
 -------- 11:00 0.00 0.29 0.13 1.45 0.02
 -------- 12:00 0.00 0.20 0.11 1.55 0.02
 03.01.13 13:00 0.00 0.17 0.18 1.55 0.06
 -------- 14:00 0.00 0.12 0.22 1.60 0.13
 -------- 15:00 0.01 0.12 0.22 1.60 0.10
 -------- 16:00 0.00 0.16 0.20 1.55 0.08
 -------- 17:00 0.00 0.15 0.21 1.54 0.08
 03.01.13 18:00 0.00 0.12 0.21 1.56 0.09
 -------- 19:00 0.00 0.12 0.18 1.51 0.05
 -------- 20:00 0.00 0.19 0.14 1.49 0.03
 -------- 21:00 0.00 0.18 0.13 1.50 0.03
 -------- 22:00 0.00 0.15 0.15 1.49 0.04
 03.01.13 23:00 0.00 0.17 0.13 1.50 0.03
 -------- 00:00 0.00 0.15 0.14 1.53 0.04
 -------- 01:00 0.00 0.17 0.11 1.52 0.02
 -------- 02:00 0.00 0.18 0.09 1.46 0.01
 -------- 03:00 0.00 0.18 0.10 1.42 0.01
 04.01.13 04:00 0.00 0.19 0.10 1.42 0.01
 -------- 05:00 0.00 0.19 0.11 1.41 0.02
 -------- 06:00 0.00 0.18 0.13 1.41 0.02
 -------- 07:00 0.00 0.19 0.12 1.40 0.02
 -------- 08:00 0.00 0.11 0.17 1.43 0.07
 04.01.13 09:00 0.00 0.08 0.20 1.46 0.10
 -------- 10:00 0.00 0.07 0.20 1.50 0.11
 -------- 11:00 0.00 0.08 0.19 1.48 0.07
