 Date Time SO2 OZ NO2 CHX NO
 26.02.13 00:00 0.00 0.27 0.27 1.48 0.02
 -------- 01:00 0.00 0.29 0.24 1.57 0.02
 -------- 02:00 0.00 0.30 0.19 1.47 0.01
 -------- 03:00 0.00 0.30 0.20 1.47 0.01
 -------- 04:00 0.00 0.26 0.24 1.48 0.02
 26.02.13 05:00 0.00 0.17 0.34 1.50 0.06
 -------- 06:00 0.00 0.15 0.38 1.56 0.08
 -------- 07:00 0.00 0.11 0.47 1.59 0.20
 -------- 08:00 0.00 0.09 0.48 1.64 0.22
 -------- 09:00 0.00 0.09 0.47 1.57 0.22
 26.02.13 10:00 0.00 0.10 0.47 1.55 0.17
 -------- 11:00 0.00 0.15 0.42 1.54 0.11
 -------- 12:00 0.00 0.16 0.43 1.54 0.11
 -------- 13:00 0.00 0.22 0.37 1.47 0.08
 -------- 14:00 0.00 0.22 0.40 1.47 0.10
 26.02.13 15:00 0.00 0.20 0.41 1.49 0.12
 -------- 16:00 0.00 0.25 0.38 1.48 0.10
 -------- 17:00 0.00 0.26 0.39 1.45 0.10
 -------- 18:00 0.01 0.19 0.49 1.53 0.19
 -------- 19:00 0.01 0.19 0.45 1.53 0.17
 26.02.13 20:00 0.00 0.24 0.38 1.44 0.08
 -------- 21:00 0.00 0.22 0.39 1.47 0.09
 -------- 22:00 0.00 0.26 0.31 1.40 0.04
 -------- 23:00 0.00 0.28 0.27 1.41 0.03
 -------- 00:00 0.00 0.29 0.24 1.38 0.02
 27.02.13 01:00 0.00 0.33 0.18 1.37 0.01
 -------- 02:00 0.00 0.36 0.15 1.37 0.01
 -------- 03:00 0.00 0.38 0.12 1.34 0.01
 -------- 04:00 0.00 0.36 0.14 1.37 0.01
 -------- 05:00 0.00 0.34 0.17 1.37 0.02
 27.02.13 06:00 0.00 0.35 0.14 1.36 0.02
 -------- 07:00 0.00 0.31 0.22 1.41 0.03
 -------- 08:00 0.00 0.22 0.33 1.45 0.07
 -------- 09:00 0.00 0.21 0.34 1.49 0.07
 -------- 10:00 0.00 0.25 0.29 1.48 0.06
 27.02.13 11:00 0.00 0.21 0.32 1.49 0.08
 -------- 12:00 0.00 0.22 0.30 1.43 0.06
 -------- 13:00 0.00 0.18 0.34 1.42 0.07
 -------- 14:00 0.00 0.18 0.33 1.45 0.08
 -------- 15:00 0.00 0.18 0.33 1.42 0.07
 27.02.13 16:00 0.00 0.19 0.30 1.42 0.08
 -------- 17:00 0.00 0.24 0.27 1.40 0.04
 -------- 18:00 0.00 0.16 0.37 1.48 0.12
 -------- 19:00 0.00 0.18 0.35 1.43 0.08
 -------- 20:00 0.00 0.16 0.37 1.47 0.11
 27.02.13 21:00 0.00 0.14 0.40 1.48 0.15
 -------- 22:00 0.01 0.03 0.50 1.61 0.25
 -------- 23:00 0.01 0.04 0.47 1.53 0.16
 -------- 00:00 0.00 0.10 0.36 1.53 0.05
