 Date Time SO2 OZ NO2 CHX NO
 13.10.12 12:00 0.01 0.09 0.11 1.52 0.12
 -------- 13:00 0.01 0.10 0.12 1.50 0.12
 -------- 14:00 0.01 0.16 0.13 1.48 0.10
 -------- 15:00 0.01 0.18 0.12 1.48 0.10
 -------- 16:00 0.01 0.18 0.13 1.47 0.10
 13.10.12 17:00 0.01 0.17 0.14 1.54 0.10
 -------- 18:00 0.01 0.09 0.17 1.53 0.14
 -------- 19:00 0.01 0.05 0.19 1.64 0.17
 -------- 20:00 0.01 0.03 0.19 1.68 0.22
 -------- 21:00 0.01 0.03 0.19 1.65 0.19
 13.10.12 22:00 0.01 0.05 0.16 1.61 0.15
 -------- 23:00 0.01 0.06 0.14 1.58 0.12
 -------- 00:00 0.01 0.06 0.13 1.54 0.09
 -------- 01:00 0.01 0.05 0.12 1.55 0.09
 -------- 02:00 0.01 0.06 0.12 1.53 0.09
 14.10.12 03:00 0.01 0.06 0.10 1.50 0.06
 -------- 04:00 0.00 0.10 0.07 1.47 0.03
 -------- 05:00 0.00 0.12 0.08 1.48 0.04
 -------- 06:00 0.00 0.13 0.06 1.46 0.03
 -------- 07:00 0.00 0.03 0.09 1.65 0.12
 14.10.12 08:00 0.01 ---- 0.09 1.79 0.21
 -------- 09:00 0.01 0.01 0.11 1.73 0.20
 -------- 10:00 0.01 0.05 0.10 1.68 0.09
 -------- 11:00 0.01 0.12 0.10 1.57 0.06
 -------- 12:00 0.01 0.20 0.11 1.50 0.05
 14.10.12 13:00 0.00 0.27 0.09 1.45 0.04
 -------- 14:00 0.00 0.26 0.11 1.46 0.05
 -------- 15:00 0.00 0.18 0.14 1.50 0.07
 -------- 16:00 0.01 0.15 0.14 1.58 0.06
 -------- 17:00 0.01 0.09 0.17 1.63 0.13
 14.10.12 18:00 0.01 0.03 0.19 1.71 0.18
 -------- 19:00 0.01 0.01 0.21 1.77 0.26
 -------- 20:00 0.01 0.01 0.19 1.79 0.26
 -------- 21:00 0.01 ---- 0.18 1.78 0.30
 -------- 22:00 0.01 0.03 0.17 1.62 0.13
 14.10.12 23:00 0.01 0.08 0.14 1.51 0.05
 -------- 00:00 0.01 0.10 0.13 1.52 0.05
 -------- 01:00 0.01 0.08 0.13 1.54 0.05
 -------- 02:00 0.01 0.06 0.12 1.58 0.06
 -------- 03:00 0.01 0.06 0.13 1.54 0.05
 15.10.12 04:00 0.01 0.06 0.12 1.56 0.04
 -------- 05:00 0.01 0.05 0.13 1.55 0.07
 -------- 06:00 0.01 0.06 0.14 1.58 0.09
 -------- 07:00 0.01 0.01 0.16 1.69 0.26
 -------- 08:00 0.01 ---- 0.19 1.96 0.41
 15.10.12 09:00 0.01 ---- 0.21 1.91 0.34
 -------- 10:00 0.01 ---- 0.23 1.97 0.39
 -------- 11:00 0.01 0.01 0.24 1.82 0.26
