 Date Time SO2 OZ NO2 CHX NO
 29.11.12 00:00 0.00 0.02 0.14 1.50 0.03
 -------- 01:00 0.00 0.04 0.12 1.48 0.02
 -------- 02:00 0.00 0.06 0.12 1.48 0.02
 -------- 03:00 0.00 0.07 0.11 1.49 0.02
 -------- 04:00 0.00 0.06 0.11 1.50 0.01
 29.11.12 05:00 0.00 0.09 0.14 1.57 0.03
 -------- 06:00 0.00 0.06 0.15 1.55 0.05
 -------- 07:00 0.00 0.07 0.18 1.51 0.10
 -------- 08:00 0.01 0.04 0.18 1.55 0.13
 -------- 09:00 0.01 0.04 0.18 1.57 0.11
 29.11.12 10:00 0.00 0.05 0.16 1.53 0.07
 -------- 11:00 0.00 0.07 0.17 1.56 0.09
 -------- 12:00 0.01 0.09 0.16 1.54 0.11
 -------- 13:00 0.01 0.10 0.18 1.53 0.10
 -------- 14:00 0.00 0.12 0.15 1.52 0.09
 29.11.12 15:00 0.01 0.08 0.18 1.56 0.11
 -------- 16:00 0.01 0.08 0.17 1.52 0.08
 -------- 17:00 0.01 0.07 0.18 1.55 0.09
 -------- 18:00 0.00 0.05 0.17 1.53 0.07
 -------- 19:00 0.01 0.05 0.17 1.56 0.09
 29.11.12 20:00 0.00 0.06 0.15 1.52 0.07
 -------- 21:00 0.00 0.06 0.15 1.83 0.07
 -------- 22:00 0.01 0.05 0.14 1.53 0.07
 -------- 23:00 0.00 0.03 0.13 1.50 0.04
 -------- 00:00 0.00 0.05 0.12 1.50 0.03
 30.11.12 01:00 0.00 0.06 0.11 1.49 0.02
 -------- 02:00 0.00 0.06 0.11 1.49 0.02
 -------- 03:00 0.00 0.09 0.09 1.47 0.01
 -------- 04:00 0.00 0.11 0.09 1.47 0.02
 -------- 05:00 0.00 0.10 0.08 1.47 0.02
 30.11.12 06:00 0.00 0.09 0.11 1.55 0.04
 -------- 07:00 0.00 0.06 0.12 1.49 0.07
 -------- 08:00 0.00 0.05 0.14 1.51 0.09
 -------- 09:00 0.00 0.04 0.14 1.50 0.07
 -------- 10:00 0.00 0.05 0.13 1.51 0.08
 30.11.12 11:00 0.00 0.04 0.13 1.52 0.07
 -------- 12:00 0.00 0.03 0.14 1.54 0.09
 -------- 13:00 0.01 0.03 0.14 1.55 0.12
 -------- 14:00 0.01 0.02 0.13 1.58 0.13
 -------- 15:00 0.01 0.01 0.15 1.60 0.13
 30.11.12 16:00 0.01 0.01 0.15 1.63 0.14
 -------- 17:00 0.01 ---- 0.14 1.68 0.16
 -------- 18:00 0.01 ---- 0.16 1.74 0.21
 -------- 19:00 0.01 ---- 0.16 1.71 0.21
 -------- 20:00 0.01 ---- 0.17 1.74 0.28
 30.11.12 21:00 0.01 ---- 0.15 1.73 0.22
 -------- 22:00 0.01 ---- 0.12 1.62 0.07
 -------- 23:00 0.01 0.01 0.12 1.63 0.13
