 Date Time SO2 OZ NO2 CHX NO
 28.01.13 00:00 0.00 0.01 0.33 1.69 0.15
 -------- 01:00 0.00 0.01 0.35 1.72 0.13
 -------- 02:00 0.00 0.01 0.35 1.62 0.06
 -------- 03:00 0.00 0.03 0.34 1.59 0.03
 -------- 04:00 0.00 0.05 0.33 1.56 0.03
 28.01.13 05:00 0.00 0.12 0.29 1.54 0.03
 -------- 06:00 0.00 0.16 0.29 1.55 0.05
 -------- 07:00 0.00 0.11 0.33 1.59 0.16
 -------- 08:00 0.01 0.04 0.38 1.72 0.25
 -------- 09:00 0.01 0.01 0.40 1.79 0.28
 28.01.13 10:00 0.01 0.01 0.42 1.83 0.37
 -------- 11:00 0.01 0.01 0.43 1.80 0.30
 -------- 12:00 0.01 0.04 0.38 1.66 0.17
 -------- 13:00 0.01 0.10 0.33 1.62 0.13
 -------- 14:00 0.00 0.15 0.29 1.60 0.09
 28.01.13 15:00 0.00 0.15 0.30 1.60 0.09
 -------- 16:00 0.00 0.15 0.31 1.57 0.09
 -------- 17:00 0.00 0.10 0.32 1.65 0.12
 -------- 18:00 0.00 0.10 0.30 1.57 0.09
 -------- 19:00 0.00 0.08 0.32 1.63 0.10
 28.01.13 20:00 0.00 0.10 0.29 1.58 0.05
 -------- 21:00 0.00 0.14 0.26 1.53 0.04
 -------- 22:00 0.00 0.17 0.23 1.54 0.02
 -------- 23:00 0.00 0.19 0.23 1.54 0.02
 -------- 00:00 0.00 0.20 0.20 1.56 0.01
 29.01.13 01:00 0.00 0.24 0.18 1.51 0.01
 -------- 02:00 0.00 0.25 0.17 1.50 0.01
 -------- 03:00 0.00 0.24 0.17 1.50 0.01
 -------- 04:00 0.00 0.20 0.21 1.53 0.02
 -------- 05:00 0.00 0.21 0.21 1.51 0.02
 29.01.13 06:00 0.00 0.17 0.24 1.68 0.03
 -------- 07:00 0.00 0.10 0.30 1.60 0.11
 -------- 08:00 0.01 0.04 0.33 1.65 0.19
 -------- 09:00 0.00 0.05 0.34 1.63 0.14
 -------- 10:00 0.01 0.02 0.37 1.68 0.19
 29.01.13 11:00 0.00 0.06 0.32 1.58 0.10
 -------- 12:00 0.00 0.13 0.30 1.56 0.10
 -------- 13:00 0.00 0.11 0.34 1.55 0.12
 -------- 14:00 0.00 0.12 0.34 1.58 0.14
 -------- 15:00 0.01 0.09 0.37 1.61 0.19
 29.01.13 16:00 0.01 0.10 0.36 1.61 0.15
 -------- 17:00 0.01 0.07 0.38 1.66 0.18
 -------- 18:00 0.01 0.01 0.42 1.76 0.33
 -------- 19:00 0.01 0.01 0.41 1.64 0.24
 -------- 20:00 0.01 0.01 0.44 1.67 0.22
 29.01.13 21:00 0.01 0.01 0.41 1.62 0.19
 -------- 22:00 0.00 0.03 0.40 1.56 0.10
 -------- 23:00 0.00 0.04 0.36 1.51 0.07
