 Date Time SO2 OZ NO2 CHX NO
 21.09.12 12:00 0.01 0.20 0.17 1.56 0.14
 -------- 13:00 0.01 0.23 0.17 1.55 0.13
 -------- 14:00 0.01 0.32 0.18 1.52 0.10
 -------- 15:00 0.01 0.50 0.16 1.48 0.06
 -------- 16:00 0.01 0.36 0.20 1.54 0.08
 21.09.12 17:00 0.01 0.14 0.15 1.51 0.10
 -------- 18:00 0.01 0.13 0.15 1.58 0.13
 -------- 19:00 0.01 0.12 0.13 1.56 0.12
 -------- 20:00 0.00 0.20 0.12 1.48 0.09
 -------- 21:00 0.00 0.30 0.08 1.44 0.06
 21.09.12 22:00 0.00 0.30 0.08 1.46 0.05
 -------- 23:00 0.00 0.30 0.08 1.43 0.04
 -------- 00:00 0.00 0.29 0.08 1.43 0.04
 -------- 01:00 0.00 0.29 0.08 1.43 0.04
 -------- 02:00 0.00 0.31 0.07 1.43 0.04
 22.09.12 03:00 0.00 0.31 0.07 1.57 0.04
 -------- 04:00 0.00 0.29 0.07 1.54 0.04
 -------- 05:00 0.00 0.32 0.07 1.43 0.04
 -------- 06:00 0.00 0.33 0.07 1.42 0.04
 -------- 07:00 0.00 0.27 0.07 1.43 0.05
 22.09.12 08:00 0.00 0.25 0.08 1.42 0.05
 -------- 09:00 0.00 0.22 0.08 1.44 0.05
 -------- 10:00 0.00 0.17 0.10 1.46 0.08
 -------- 11:00 0.00 0.17 0.10 1.47 0.09
 -------- 12:00 0.00 0.18 0.10 1.47 0.08
 22.09.12 13:00 0.01 0.18 0.12 1.50 0.10
 -------- 14:00 0.00 0.24 0.12 1.49 0.08
 -------- 15:00 0.01 0.25 0.14 1.53 0.09
 -------- 16:00 0.01 0.23 0.16 1.53 0.10
 -------- 17:00 0.01 0.24 0.14 1.51 0.08
 22.09.12 18:00 0.00 0.22 0.13 1.52 0.06
 -------- 19:00 0.00 0.24 0.12 1.53 0.05
 -------- 20:00 0.00 0.20 0.13 1.50 0.06
 -------- 21:00 0.01 0.09 0.15 1.57 0.09
 -------- 22:00 0.01 0.05 0.15 1.65 0.10
 22.09.12 23:00 0.01 0.02 0.18 1.80 0.14
 -------- 00:00 0.01 ---- 0.18 1.82 0.14
 -------- 01:00 0.01 ---- 0.17 1.84 0.15
 -------- 02:00 0.01 ---- 0.17 1.81 0.14
 -------- 03:00 0.01 ---- 0.16 1.80 0.14
 23.09.12 04:00 0.01 ---- 0.15 1.81 0.12
 -------- 05:00 0.01 0.08 0.14 1.62 0.11
 -------- 06:00 0.00 0.19 0.11 1.58 0.10
 -------- 07:00 0.01 0.15 0.13 1.58 0.11
 -------- 08:00 0.01 0.05 0.15 1.65 0.15
 23.09.12 09:00 0.01 0.05 0.16 1.71 0.16
 -------- 10:00 0.01 0.04 0.17 1.69 0.20
 -------- 11:00 0.01 0.04 0.17 1.69 0.19
